creature_key,onset_cycle,batch_index,batch_size,loss
181,17,0,16,2.877019
181,17,1,4,5.1955786
181,31,0,16,2.870141
181,31,1,16,1.6795305
181,31,2,16,2.5388858
181,31,3,16,0.5796536
181,31,4,11,3.4847906
181,46,0,16,2.8471591
181,46,1,16,1.6656939
181,46,2,16,2.518874
181,46,3,16,0.5746992
181,46,4,16,2.381868
181,46,5,16,0.43538952
181,46,6,13,3.1067786
181,59,0,16,2.8170843
181,59,1,16,1.6476974
181,59,2,16,2.4972448
181,59,3,16,0.5683377
181,59,4,16,2.3577108
181,59,5,16,0.43064168
181,59,6,13,3.0679674
181,76,0,16,1.7837996
181,76,1,16,2.522371
181,76,2,16,0.48877332
181,76,3,16,2.411751
181,76,4,16,0.37100124
181,76,5,16,2.5334318
181,76,6,16,0.2796193
181,76,7,16,2.6220539
181,91,0,16,0.64163655
181,91,1,16,2.2260418
181,91,2,16,0.48571947
181,91,3,16,2.3856068
181,91,4,16,0.36619467
181,91,5,16,2.5019605
181,91,6,16,0.27642977
181,91,7,16,2.5945745
181,105,0,16,0.6363792
181,105,1,16,2.2091913
181,105,2,16,0.48231357
181,105,3,16,2.3710618
181,105,4,16,0.36437914
181,105,5,16,2.4915612
181,105,6,16,0.27548897
181,105,7,16,2.585695
181,119,0,16,0.6348237
181,119,1,16,2.200372
181,119,2,16,0.48008084
181,119,3,16,2.3631597
181,119,4,16,0.3630091
181,119,5,16,2.4840026
181,119,6,16,0.27451104
181,119,7,16,2.578147
181,133,0,16,0.63332963
181,133,1,16,2.1953237
181,133,2,16,0.47897705
181,133,3,16,2.358229
181,133,4,16,0.3622409
181,133,5,16,2.4788866
181,133,6,16,0.2739819
181,133,7,16,2.573514
181,150,0,16,0.6320282
181,150,1,16,2.1935616
181,150,2,16,0.4776441
181,150,3,16,2.352287
181,150,4,16,0.36150286
181,150,5,16,2.477204
181,150,6,16,0.2737856
181,150,7,16,2.543674
181,163,0,16,0.6311297
181,163,1,16,2.1903772
181,163,2,16,0.4770177
181,163,3,16,2.3492002
181,163,4,16,0.36103824
181,163,5,16,2.473887
181,163,6,16,0.2733713
181,163,7,16,2.5401459
181,176,0,16,0.6298599
181,176,1,16,2.1842408
181,176,2,16,0.47670102
181,176,3,16,2.3471084
181,176,4,16,0.3608995
181,176,5,16,2.4463515
181,176,6,16,0.27302325
181,176,7,16,2.5674865
181,190,0,16,0.6292219
181,190,1,16,2.1826453
181,190,2,16,0.47608232
181,190,3,16,2.3245485
181,190,4,16,0.36052972
181,190,5,16,2.4716375
181,190,6,16,0.27284285
181,190,7,16,2.536141
181,203,0,16,0.6288966
181,203,1,16,2.1812239
181,203,2,16,0.4756994
181,203,3,16,2.3229606
181,203,4,16,0.3603636
181,203,5,16,2.470203
181,203,6,16,0.27270013
181,203,7,16,2.534881
181,222,0,16,0.6281368
181,222,1,16,2.1616642
181,222,2,16,0.47590625
181,222,3,16,2.3457525
181,222,4,16,0.35979775
181,222,5,16,2.4437535
181,222,6,16,0.2726866
181,222,7,16,2.5334415
181,234,0,16,0.6278271
181,234,1,16,2.1607826
181,234,2,16,0.47571903
181,234,3,16,2.3450735
181,234,4,16,0.3596938
181,234,5,16,2.4427183
181,234,6,16,0.2725996
181,234,7,16,2.5326653
181,250,0,16,0.6275957
181,250,1,16,2.1601317
181,250,2,16,0.47556174
181,250,3,16,2.3443866
181,250,4,16,0.3595896
181,250,5,16,2.442081
181,250,6,16,0.2725086
181,250,7,16,2.5319462
181,263,0,16,0.6287407
181,263,1,16,2.181108
181,263,2,16,0.47448653
181,263,3,16,2.3214798
181,263,4,16,0.35968518
181,263,5,16,2.4390833
181,263,6,16,0.27252105
181,263,7,16,2.5305564
181,279,0,16,0.62858963
181,279,1,16,2.1808012
181,279,2,16,0.4744049
181,279,3,16,2.3209414
181,279,4,16,0.35959718
181,279,5,16,2.4386818
181,279,6,16,0.27247202
181,279,7,16,2.5300612
181,295,0,16,0.6264754
181,295,1,16,2.1609116
181,295,2,16,0.4745523
181,295,3,16,2.3170624
181,295,4,16,0.3597553
181,295,5,16,2.4367275
181,295,6,16,0.27259117
181,295,7,16,2.560854
181,307,0,16,0.626359
181,307,1,16,2.1603122
181,307,2,16,0.47441167
181,307,3,16,2.3163896
181,307,4,16,0.35964993
181,307,5,16,2.4360297
181,307,6,16,0.27250665
181,307,7,16,2.559923
181,319,0,16,0.62617457
181,319,1,16,2.1596982
181,319,2,16,0.47426713
181,319,3,16,2.315717
181,319,4,16,0.35954288
181,319,5,16,2.435297
181,319,6,16,0.27242646
181,319,7,16,2.5591586
181,334,0,16,0.6258868
181,334,1,16,2.156833
181,334,2,16,0.474575
181,334,3,16,2.3147416
181,334,4,16,0.359618
181,334,5,16,2.46538
181,334,6,16,0.271975
181,334,7,16,2.5265148
181,348,0,16,0.6262928
181,348,1,16,2.155176
181,348,2,16,0.47505972
181,348,3,16,2.341205
181,348,4,16,0.3589717
181,348,5,16,2.4338577
181,348,6,16,0.2724288
181,348,7,16,2.5547478
181,362,0,16,0.6261376
181,362,1,16,2.1544402
181,362,2,16,0.4749028
181,362,3,16,2.3404753
181,362,4,16,0.3588457
181,362,5,16,2.4327354
181,362,6,16,0.27231008
181,362,7,16,2.5535176
181,374,0,16,0.6276487
181,374,1,16,2.1762369
181,374,2,16,0.47374457
181,374,3,16,2.3122113
181,374,4,16,0.35933
181,374,5,16,2.4579613
181,374,6,16,0.27175814
181,374,7,16,2.5552685
181,390,0,16,0.6272423
181,390,1,16,2.1749973
181,390,2,16,0.47347566
181,390,3,16,2.310877
181,390,4,16,0.3591282
181,390,5,16,2.456613
181,390,6,16,0.27160996
181,390,7,16,2.5537815
181,402,0,16,0.6268785
181,402,1,16,2.1734588
181,402,2,16,0.4731397
181,402,3,16,2.3088317
181,402,4,16,0.35880953
181,402,5,16,2.454093
181,402,6,16,0.27130768
181,402,7,16,2.5509841
181,418,0,16,0.626155
181,418,1,16,2.1704369
181,418,2,16,0.4724262
181,418,3,16,2.3046703
181,418,4,16,0.3581362
181,418,5,16,2.4499536
181,418,6,16,0.27086195
181,418,7,16,2.5459995
181,433,0,16,0.62278247
181,433,1,16,2.14369
181,433,2,16,0.4725178
181,433,3,16,2.3248837
181,433,4,16,0.35747945
181,433,5,16,2.4495134
181,433,6,16,0.27077174
181,433,7,16,2.541325
181,450,0,16,0.6244308
181,450,1,16,2.16285
181,450,2,16,0.4719614
181,450,3,16,2.3254817
181,450,4,16,0.35750657
181,450,5,16,2.448308
181,450,6,16,0.27048177
181,450,7,16,2.5400562
181,467,0,16,0.62366194
181,467,1,16,2.163182
181,467,2,16,0.47208548
181,467,3,16,2.3245108
181,467,4,16,0.357177
181,467,5,16,2.4462237
181,467,6,16,0.27039397
181,467,7,16,2.5433826
181,483,0,16,0.6234042
181,483,1,16,2.1627154
181,483,2,16,0.47201502
181,483,3,16,2.3241143
181,483,4,16,0.35708076
181,483,5,16,2.4452732
181,483,6,16,0.2702816
181,483,7,16,2.5411785
181,499,0,16,0.6231418
181,499,1,16,2.1621222
181,499,2,16,0.47183365
181,499,3,16,2.3231359
181,499,4,16,0.3569563
181,499,5,16,2.444462
181,499,6,16,0.270173
181,499,7,16,2.5391104
181,512,0,16,0.6231181
181,512,1,16,2.1627233
181,512,2,16,0.47133484
181,512,3,16,2.321284
181,512,4,16,0.35672918
181,512,5,16,2.4436786
181,512,6,16,0.27042967
181,512,7,16,2.5373394
181,525,0,16,0.62292486
181,525,1,16,2.1616304
181,525,2,16,0.47114038
181,525,3,16,2.3206255
181,525,4,16,0.35662276
181,525,5,16,2.442503
181,525,6,16,0.27033252
181,525,7,16,2.5362644
181,537,0,16,0.62274915
181,537,1,16,2.1612191
181,537,2,16,0.47104552
181,537,3,16,2.3198454
181,537,4,16,0.35653073
181,537,5,16,2.4418628
181,537,6,16,0.27025962
181,537,7,16,2.5357893
181,552,0,16,0.5413437
181,552,1,16,2.244488
181,552,2,16,0.40966025
181,552,3,16,2.384211
181,552,4,16,0.31058055
181,552,5,16,2.4931056
181,552,6,16,0.23508762
181,552,7,16,2.2035623
181,566,0,16,0.541247
181,566,1,16,2.2438438
181,566,2,16,0.40959668
181,566,3,16,2.3837187
181,566,4,16,0.31048512
181,566,5,16,2.4923322
181,566,6,16,0.23502271
181,566,7,16,2.202599
181,582,0,16,0.5411707
181,582,1,16,2.2436273
181,582,2,16,0.40956166
181,582,3,16,2.383475
181,582,4,16,0.3104358
181,582,5,16,2.4920902
181,582,6,16,0.23500335
181,582,7,16,2.2026138
181,596,0,16,0.5413286
181,596,1,16,2.2451503
181,596,2,16,0.4101537
181,596,3,16,2.017148
