creatureKey,action_time,action_type,selection_type,target_key
181,1782743842867,WANDER,RANDOM,181
181,1782743842883,SLEEP,RANDOM,181
181,1782743842971,SLEEP,RANDOM,176
181,1782743842986,SLEEP,RANDOM,181
181,1782743843004,SLEEP,RANDOM,181
181,1782743843037,SLEEP,AFFORDANCE,169
181,1782743843113,SLEEP,RANDOM,169
181,1782743843131,SLEEP,RANDOM,181
181,1782743843145,SLEEP,AFFORDANCE,16
181,1782743843158,SLEEP,RANDOM,181
181,1782743843181,SLEEP,RANDOM,31
181,1782743843184,SLEEP,RANDOM,181
181,1782743843210,WANDER,RANDOM,181
181,1782743843223,WANDER,RANDOM,181
181,1782743843228,APPROACH,AFFORDANCE,169
181,1782743843255,APPROACH,RANDOM,65
181,1782743843266,SLEEP,RANDOM,181
181,1782743843376,SLEEP,RANDOM,181
181,1782743843382,SLEEP,AFFORDANCE,31
181,1782743843421,SLEEP,RANDOM,176
181,1782743843494,SLEEP,AFFORDANCE,169
181,1782743843516,SLEEP,RANDOM,31
181,1782743843536,SLEEP,RANDOM,16
181,1782743843563,SLEEP,RANDOM,181
181,1782743843568,SLEEP,RANDOM,181
181,1782743843613,SLEEP,AFFORDANCE,176
181,1782743843615,SLEEP,RANDOM,181
181,1782743843662,AVOID,RANDOM,169
181,1782743843712,APPROACH,RANDOM,31
181,1782743843732,AVOID,RANDOM,31
181,1782743843737,SLEEP,AFFORDANCE,16
181,1782743843757,SLEEP,AFFORDANCE,31
181,1782743843761,SLEEP,RANDOM,181
181,1782743843845,SLEEP,AFFORDANCE,169
181,1782743843849,SLEEP,RANDOM,181
181,1782743843852,SLEEP,AFFORDANCE,65
181,1782743843863,SLEEP,AFFORDANCE,176
181,1782743843867,SLEEP,RANDOM,181
181,1782743843951,SLEEP,RANDOM,176
181,1782743843979,SLEEP,RANDOM,181
181,1782743844012,SLEEP,AFFORDANCE,169
181,1782743844049,SLEEP,RANDOM,181
181,1782743844068,APPROACH,AFFORDANCE,31
181,1782743844103,AVOID,AFFORDANCE,176
181,1782743844114,APPROACH,AFFORDANCE,31
181,1782743844242,SLEEP,RANDOM,31
181,1782743844247,SLEEP,RANDOM,181
181,1782743844261,SLEEP,AFFORDANCE,31
181,1782743844264,SLEEP,AFFORDANCE,176
181,1782743844266,SLEEP,RANDOM,181
181,1782743844339,SLEEP,AFFORDANCE,169
181,1782743844343,SLEEP,AFFORDANCE,65
181,1782743844397,SLEEP,RANDOM,31
181,1782743844496,SLEEP,AFFORDANCE,176
181,1782743844552,SLEEP,AFFORDANCE,31
181,1782743844573,SLEEP,AFFORDANCE,169
181,1782743844597,WANDER,RANDOM,181
181,1782743844603,AVOID,AFFORDANCE,16
181,1782743844617,SLEEP,AFFORDANCE,176
181,1782743844666,SLEEP,RANDOM,181
181,1782743844668,SLEEP,AFFORDANCE,176
181,1782743844670,SLEEP,AFFORDANCE,31
181,1782743844672,SLEEP,RANDOM,181
181,1782743844696,SLEEP,RANDOM,31
181,1782743844711,SLEEP,AFFORDANCE,31
181,1782743844725,SLEEP,AFFORDANCE,169
181,1782743844748,SLEEP,RANDOM,181
181,1782743844757,SLEEP,RANDOM,181
181,1782743844853,SLEEP,RANDOM,181
181,1782743844893,APPROACH,RANDOM,176
181,1782743844947,AVOID,AFFORDANCE,16
181,1782743844977,APPROACH,AFFORDANCE,176
181,1782743844994,APPROACH,AFFORDANCE,31
181,1782743844999,APPROACH,RANDOM,176
181,1782743845038,APPROACH,RANDOM,169
181,1782743845069,SLEEP,AFFORDANCE,176
181,1782743845073,SLEEP,AFFORDANCE,31
181,1782743845185,SLEEP,AFFORDANCE,169
181,1782743845187,SLEEP,AFFORDANCE,31
181,1782743845210,SLEEP,RANDOM,181
181,1782743845211,SLEEP,AFFORDANCE,31
181,1782743845242,SLEEP,RANDOM,31
181,1782743845247,SLEEP,RANDOM,31
181,1782743845256,SLEEP,RANDOM,181
181,1782743845300,SLEEP,RANDOM,176
181,1782743845323,SLEEP,RANDOM,169
181,1782743845328,WANDER,RANDOM,181
181,1782743845331,WANDER,RANDOM,181
181,1782743845337,WANDER,RANDOM,181
181,1782743845364,AVOID,AFFORDANCE,176
181,1782743845389,SLEEP,AFFORDANCE,16
181,1782743845478,SLEEP,RANDOM,176
181,1782743845487,SLEEP,RANDOM,181
181,1782743845562,SLEEP,RANDOM,181
181,1782743845565,SLEEP,RANDOM,181
181,1782743845567,SLEEP,AFFORDANCE,169
181,1782743845581,SLEEP,AFFORDANCE,31
181,1782743845596,SLEEP,RANDOM,181
181,1782743845598,SLEEP,RANDOM,181
181,1782743845601,SLEEP,RANDOM,31
181,1782743845617,SLEEP,AFFORDANCE,31
181,1782743845652,WANDER,RANDOM,181
181,1782743845697,APPROACH,RANDOM,31
181,1782743845703,WANDER,RANDOM,181
181,1782743845705,SLEEP,RANDOM,181
181,1782743845728,SLEEP,AFFORDANCE,31
181,1782743845754,SLEEP,AFFORDANCE,31
181,1782743845765,SLEEP,AFFORDANCE,31
181,1782743845811,SLEEP,AFFORDANCE,31
181,1782743845832,SLEEP,RANDOM,31
181,1782743845842,SLEEP,AFFORDANCE,31
181,1782743845854,SLEEP,AFFORDANCE,31
181,1782743845881,SLEEP,AFFORDANCE,169
181,1782743845951,SLEEP,RANDOM,181
181,1782743846041,SLEEP,RANDOM,176
181,1782743846145,SLEEP,AFFORDANCE,31
181,1782743846149,WANDER,RANDOM,181
181,1782743846193,WANDER,RANDOM,181
181,1782743846195,SLEEP,AFFORDANCE,31
181,1782743846201,SLEEP,RANDOM,169
181,1782743846205,SLEEP,AFFORDANCE,65
181,1782743846208,SLEEP,RANDOM,181
181,1782743846240,SLEEP,AFFORDANCE,176
181,1782743846242,SLEEP,RANDOM,181
181,1782743846276,SLEEP,AFFORDANCE,31
181,1782743846367,SLEEP,AFFORDANCE,31
181,1782743846447,SLEEP,AFFORDANCE,31
181,1782743846450,SLEEP,RANDOM,181
181,1782743846453,SLEEP,RANDOM,181
181,1782743846508,EAT,AFFORDANCE,31
181,1782743846581,APPROACH,AFFORDANCE,176
181,1782743846585,AVOID,AFFORDANCE,31
181,1782743846587,SLEEP,RANDOM,31
181,1782743846589,SLEEP,AFFORDANCE,31
181,1782743846609,SLEEP,RANDOM,181
181,1782743846621,SLEEP,AFFORDANCE,176
181,1782743846654,SLEEP,AFFORDANCE,31
181,1782743846719,SLEEP,RANDOM,181
181,1782743846754,SLEEP,RANDOM,181
181,1782743846756,SLEEP,RANDOM,181
181,1782743846762,SLEEP,RANDOM,31
181,1782743846764,SLEEP,RANDOM,181
181,1782743846767,SLEEP,RANDOM,154
181,1782743846804,WANDER,RANDOM,181
181,1782743846807,APPROACH,AFFORDANCE,16
181,1782743846840,APPROACH,AFFORDANCE,65
181,1782743846857,EAT,RANDOM,31
181,1782743846859,WANDER,RANDOM,181
181,1782743846860,WANDER,RANDOM,181
181,1782743846887,SLEEP,AFFORDANCE,31
181,1782743846951,SLEEP,AFFORDANCE,31
181,1782743846979,SLEEP,AFFORDANCE,176
181,1782743847048,SLEEP,AFFORDANCE,169
181,1782743847051,SLEEP,RANDOM,181
181,1782743847082,SLEEP,RANDOM,181
181,1782743847115,SLEEP,AFFORDANCE,154
181,1782743847177,SLEEP,RANDOM,181
181,1782743847200,SLEEP,AFFORDANCE,65
181,1782743847202,SLEEP,RANDOM,181
181,1782743847228,SLEEP,AFFORDANCE,31
181,1782743847261,AVOID,AFFORDANCE,169
181,1782743847373,WANDER,RANDOM,181
181,1782743847375,SLEEP,RANDOM,181
181,1782743847377,SLEEP,RANDOM,181
181,1782743847476,SLEEP,RANDOM,181
181,1782743847479,SLEEP,AFFORDANCE,31
181,1782743847595,SLEEP,RANDOM,181
181,1782743847614,SLEEP,RANDOM,181
181,1782743847698,SLEEP,RANDOM,31
181,1782743847706,SLEEP,AFFORDANCE,31
181,1782743847878,SLEEP,AFFORDANCE,31
181,1782743847882,SLEEP,RANDOM,181
181,1782743847886,SLEEP,RANDOM,181
181,1782743847887,SLEEP,RANDOM,181
181,1782743848012,AVOID,RANDOM,169
181,1782743848036,SLEEP,AFFORDANCE,16
181,1782743848090,SLEEP,AFFORDANCE,31
181,1782743848093,SLEEP,AFFORDANCE,176
181,1782743848115,SLEEP,RANDOM,154
181,1782743848119,SLEEP,AFFORDANCE,31
