time,simpleEfficiency,complexEfficiency
0.001,,0.107715962592712
0.002,,0.107715962592712
0.004,0.07569343951984896,0.11005423284966155
0.006,0.07987392621218986,
0.007,0.08259984777971306,0.12020203848221003
0.008,,0.12107013393528969
0.009,0.09102653572754255,0.13260702311082445
0.01,,0.13260702311082445
0.011,0.09161174422600027,
0.012,0.09161174422600027,0.14493091647855527
0.013,0.10112061290685866,0.14493091647855527
0.014,0.10112061290685866,0.14750007352466943
0.015,0.08250139188989063,0.11962308889605501
0.016,0.09957450266248434,0.12049144749005694
0.017,,0.1458590404170697
0.018,0.1001545839191074,0.1460732026228098
0.02,0.10785583450544986,
0.021,,0.18337498656347415
0.022,0.12533663724309818,0.18337498656347415
0.023,,0.18337498656347415
0.024,,0.18421387337418038
0.025,0.1086225764335147,0.15859203740728794
0.026,,0.16114224830699775
0.027,0.11034550469530822,0.16114224830699775
0.028,,0.16763454326561325
0.029,,0.17327755734709235
0.03,,0.17327755734709235
0.031,0.09967116352878916,0.14557350177362144
0.032,,0.1460731587659895
0.033,0.10112061290685877,0.14750007352466948
0.034,,0.14750007352466948
0.035,,0.15887556960120397
0.036,0.10881416609195695,
0.038,0.09841329548071513,0.13949117660969582
0.039,0.09957450266248434,0.14521655379984955
0.04,,0.1460732026228099
0.041,0.09530992194347215,0.1389224018058691
0.042,,0.13941356944764366
0.043,,0.1406410938406966
0.044,,0.14298702139094918
0.045,0.10112057428759103,0.1473366955667143
0.046,,0.1489258480060196
0.047,,0.15006550274105132
0.048,,0.1509200464366334
0.049,0.10382036044699514,
0.05,0.11206533447570036,0.16368890680425674
0.051,0.12023970575472992,0.16453700354724288
0.052,,0.16121655844351288
0.053,,0.1529121397398689
0.055,,0.15688992325056436
0.056,,0.158592037407288
0.057,,0.16297658970224665
0.058,,0.16736114199720528
0.059,,0.17861383897667427
0.06,,0.18441406718262934
0.062,0.13021884864521063,0.1934089988175858
0.063,,0.2237429900032249
0.064,0.15324844929853032,
0.065,,0.2136243421937625
0.066,0.14416074031849427,0.21103335382851424
0.067,,0.2114004617865206
0.068,0.14526708349144712,0.21305126346339906
0.07,0.1474757909818996,0.21634813028055483
0.071,,0.194240956250672
0.073,0.13749472880448188,0.2014624959690424
0.074,,0.2014624959690424
0.075,,0.1872864147049341
0.076,0.12853172461666987,0.1881234595291843
0.079,,0.20173931806944015
0.08,0.1456355696225779,0.2136011798344622
0.082,0.1461880225283591,0.21524987638396237
0.083,,0.21524987638396237
0.084,,0.21524987638396237
0.085,0.14729193442171962,0.22701933182844267
0.086,0.15461759058490188,0.2132714225518652
0.087,0.12514835240935784,0.1836546155003763
0.088,,0.1856666719982803
0.089,,0.19896912350854587
0.09,0.1437916641376399,0.21084984370633156
0.091,,0.20616250714823206
0.092,,0.20616250714823206
0.093,,0.2091204292163821
0.094,0.14857815847993858,
0.095,,0.21963868171557596
0.096,,0.21963868171557596
0.097,,0.20150746311225806
0.098,0.13171596713986417,0.1936936712888319
0.099,0.13227676930210752,0.19146769171235092
0.1,,0.19188522734601748
0.101,0.1313419120540234,0.19230276297968407
0.102,0.1313419120540234,0.19230276297968407
0.103,0.13246362859502803,0.19397158980973886
0.104,0.13358399988349642,0.1964721197033216
0.105,0.13526203799633432,0.19730490164463085
0.107,0.13693705835736053,0.20063176652692688
0.108,0.14083373396537127,
0.109,,0.20643858368268309
0.11,,0.20643858368268309
0.111,,0.20643858368268309
0.112,,0.20726655014511455
0.113,,0.20974808126410843
0.114,0.143053068736848,
0.116,0.14471407785644164,0.2122260599806515
0.117,,0.21305126346339898
0.118,,0.213463667849081
0.119,,0.2138760722347631
0.12,0.146372099848841,0.2147004862947437
0.121,,0.2147004862947437
0.122,,0.2163479987100936
0.123,,0.2175240038697195
0.124,,0.21799419542083207
0.125,0.14857815847993833,0.21799419542083207
0.126,,0.21840541567236385
0.127,,0.2196386817155757
0.128,,0.22046013544018067
0.129,,0.22292291776846188
0.13,,0.22292291776846188
0.131,0.1529744238415406,0.2249723089326025
0.135,0.15516465589454603,0.22783743050628838
0.136,0.15516465589454603,
0.137,0.15516465589454603,0.22783743050628838
0.138,0.15516465589454603,0.22783743050628838
0.139,,0.22810999849510918
0.14,,0.22930898187681406
0.141,,0.22947244372782985
0.142,,0.22947244372782985
0.143,,0.22947244372782985
0.144,,0.22947244372782985
0.146,,0.2302893582715254
0.147,0.15680388376625984,0.2306976181876815
0.148,0.15734963769344928,0.2311058781038376
0.149,0.15734963769344928,
0.151,,0.2311058781038376
0.152,0.15816761397412976,0.23171787326668827
0.153,0.15952938182375148,0.23436801031925195
0.154,0.1600735009425981,0.23518255659464699
0.155,,0.23518255659464699
0.156,0.1600735009425981,0.23518255659464699
0.157,,0.2359967081586586
0.158,0.1606172936878951,0.2359967081586586
0.16,0.1606172936878951,
0.161,0.1606172936878951,0.23681046501128677
0.163,,0.23681046501128677
0.164,0.16170390084078506,0.23762382715253155
0.165,0.16170390084078506,0.23762382715253155
0.166,,0.2384367945823929
0.167,0.16278920484713583,0.23904622412125132
0.168,0.1633313686588192,0.24006154530796528
0.169,0.1633313686588192,0.24006154530796528
0.17,,0.24087332860367633
0.171,0.1644147208750965,0.24222537976996675
0.172,0.16549677384841602,0.24411651467268636
0.173,0.16603731360596352,
0.174,0.1665775291369343,0.2457357394388908
0.175,,0.24654475975491785
0.176,0.1676569882969389,0.24654475975491785
0.177,,0.24654475975491785
0.179,0.168196232314578,0.24735338535956156
0.18,0.168196232314578,0.24735338535956156
0.181,,0.2479595585295067
0.182,,0.2489694524346986
0.183,0.17142491077005376,0.2521968500483716
0.184,,0.2521968500483716
0.185,0.17142491077005376,0.2521968500483716
0.186,,0.2530027126733313
0.187,0.17303489650880668,0.25461325378910044
0.188,0.17303489650880668,0.25501559303450516
0.189,0.17357091474934863,0.25557878903579506
