creatureKey,action_time,action_type,selection_type,target_key
181,1782810170660,WANDER,RANDOM,181
181,1782810170676,SLEEP,RANDOM,181
181,1782810170723,SLEEP,RANDOM,169
181,1782810170753,SLEEP,AFFORDANCE,167
181,1782810170761,SLEEP,AFFORDANCE,35
181,1782810170801,SLEEP,AFFORDANCE,173
181,1782810170848,SLEEP,AFFORDANCE,173
181,1782810170859,SLEEP,RANDOM,48
181,1782810170872,SLEEP,RANDOM,181
181,1782810170895,SLEEP,AFFORDANCE,35
181,1782810170934,SLEEP,AFFORDANCE,173
181,1782810170951,SLEEP,RANDOM,181
181,1782810170998,WANDER,RANDOM,181
181,1782810171015,SLEEP,RANDOM,181
181,1782810171021,SLEEP,RANDOM,181
181,1782810171027,SLEEP,AFFORDANCE,48
181,1782810171030,SLEEP,AFFORDANCE,169
181,1782810171036,SLEEP,AFFORDANCE,173
181,1782810171086,SLEEP,AFFORDANCE,89
181,1782810171131,SLEEP,RANDOM,43
181,1782810171158,SLEEP,AFFORDANCE,48
181,1782810171165,SLEEP,AFFORDANCE,169
181,1782810171289,SLEEP,RANDOM,173
181,1782810171310,SLEEP,RANDOM,173
181,1782810171321,SLEEP,RANDOM,181
181,1782810171347,AVOID,AFFORDANCE,167
181,1782810171352,SLEEP,RANDOM,181
181,1782810171398,SLEEP,RANDOM,181
181,1782810171407,SLEEP,RANDOM,173
181,1782810171425,SLEEP,AFFORDANCE,119
181,1782810171464,SLEEP,AFFORDANCE,48
181,1782810171467,SLEEP,RANDOM,43
181,1782810171478,SLEEP,RANDOM,43
181,1782810171497,SLEEP,AFFORDANCE,48
181,1782810171501,SLEEP,RANDOM,181
181,1782810171503,SLEEP,AFFORDANCE,169
181,1782810171519,SLEEP,AFFORDANCE,173
181,1782810171522,SLEEP,RANDOM,181
181,1782810171702,APPROACH,RANDOM,173
181,1782810171728,WANDER,RANDOM,181
181,1782810171734,APPROACH,AFFORDANCE,169
181,1782810171783,AVOID,AFFORDANCE,169
181,1782810171796,APPROACH,AFFORDANCE,173
181,1782810171846,WANDER,RANDOM,181
181,1782810171869,WANDER,RANDOM,181
181,1782810171881,AVOID,AFFORDANCE,167
181,1782810171925,AVOID,AFFORDANCE,48
181,1782810171929,AVOID,RANDOM,89
181,1782810171932,SLEEP,RANDOM,181
181,1782810171939,SLEEP,RANDOM,181
181,1782810171948,SLEEP,RANDOM,173
181,1782810172006,SLEEP,RANDOM,181
181,1782810172102,SLEEP,AFFORDANCE,169
181,1782810172132,SLEEP,RANDOM,181
181,1782810172135,SLEEP,RANDOM,181
181,1782810172142,SLEEP,RANDOM,173
181,1782810172241,SLEEP,RANDOM,181
181,1782810172244,SLEEP,AFFORDANCE,43
181,1782810172246,SLEEP,RANDOM,173
181,1782810172289,SLEEP,AFFORDANCE,169
181,1782810172296,SLEEP,AFFORDANCE,173
181,1782810172330,AVOID,AFFORDANCE,48
181,1782810172332,APPROACH,RANDOM,173
181,1782810172337,SLEEP,RANDOM,173
181,1782810172427,SLEEP,RANDOM,181
181,1782810172430,SLEEP,AFFORDANCE,173
181,1782810172482,SLEEP,RANDOM,181
181,1782810172483,SLEEP,AFFORDANCE,89
181,1782810172485,SLEEP,RANDOM,119
181,1782810172488,SLEEP,AFFORDANCE,169
181,1782810172510,SLEEP,AFFORDANCE,43
181,1782810172543,SLEEP,RANDOM,181
181,1782810172545,SLEEP,RANDOM,181
181,1782810172553,SLEEP,AFFORDANCE,169
181,1782810172556,SLEEP,RANDOM,181
181,1782810172557,SLEEP,RANDOM,173
181,1782810172567,SLEEP,RANDOM,181
181,1782810172573,SLEEP,RANDOM,181
181,1782810172577,SLEEP,RANDOM,181
181,1782810172581,SLEEP,AFFORDANCE,119
181,1782810172608,SLEEP,AFFORDANCE,43
181,1782810172694,WANDER,RANDOM,181
181,1782810172697,APPROACH,AFFORDANCE,169
181,1782810172701,SLEEP,RANDOM,181
181,1782810172738,SLEEP,RANDOM,181
181,1782810172772,SLEEP,RANDOM,89
181,1782810172775,SLEEP,AFFORDANCE,119
181,1782810172812,SLEEP,RANDOM,173
181,1782810172832,SLEEP,RANDOM,181
181,1782810172834,SLEEP,RANDOM,181
181,1782810172865,SLEEP,AFFORDANCE,173
181,1782810172905,SLEEP,AFFORDANCE,48
181,1782810172922,SLEEP,RANDOM,181
181,1782810172975,SLEEP,RANDOM,181
181,1782810173020,AVOID,AFFORDANCE,169
181,1782810173043,APPROACH,AFFORDANCE,173
181,1782810173048,AVOID,AFFORDANCE,48
181,1782810173060,AVOID,AFFORDANCE,173
181,1782810173062,SLEEP,RANDOM,181
181,1782810173063,SLEEP,RANDOM,181
181,1782810173076,SLEEP,AFFORDANCE,48
181,1782810173079,SLEEP,RANDOM,169
181,1782810173081,SLEEP,RANDOM,181
181,1782810173099,SLEEP,RANDOM,181
181,1782810173117,SLEEP,RANDOM,181
181,1782810173122,SLEEP,RANDOM,167
181,1782810173124,SLEEP,RANDOM,173
181,1782810173127,SLEEP,AFFORDANCE,43
181,1782810173141,SLEEP,AFFORDANCE,48
181,1782810173254,WANDER,RANDOM,181
181,1782810173257,SLEEP,RANDOM,169
181,1782810173259,SLEEP,AFFORDANCE,173
181,1782810173288,SLEEP,RANDOM,181
181,1782810173290,SLEEP,RANDOM,89
181,1782810173343,SLEEP,RANDOM,181
181,1782810173345,SLEEP,AFFORDANCE,43
181,1782810173384,SLEEP,RANDOM,89
181,1782810173436,SLEEP,RANDOM,181
181,1782810173439,SLEEP,RANDOM,181
181,1782810173469,SLEEP,RANDOM,181
181,1782810173540,SLEEP,AFFORDANCE,119
181,1782810173569,APPROACH,AFFORDANCE,43
181,1782810173582,APPROACH,RANDOM,89
181,1782810173586,SLEEP,RANDOM,181
181,1782810173613,SLEEP,AFFORDANCE,119
181,1782810173617,SLEEP,AFFORDANCE,43
181,1782810173621,SLEEP,AFFORDANCE,48
181,1782810173631,SLEEP,AFFORDANCE,169
181,1782810173635,SLEEP,AFFORDANCE,173
181,1782810173637,SLEEP,RANDOM,181
181,1782810173651,SLEEP,AFFORDANCE,48
181,1782810173654,SLEEP,RANDOM,181
181,1782810173662,SLEEP,AFFORDANCE,89
181,1782810173665,SLEEP,RANDOM,181
181,1782810173698,SLEEP,RANDOM,181
181,1782810173700,SLEEP,AFFORDANCE,119
181,1782810173724,SLEEP,AFFORDANCE,43
181,1782810173749,APPROACH,RANDOM,89
181,1782810173778,AVOID,AFFORDANCE,43
181,1782810173787,SLEEP,RANDOM,181
181,1782810173789,SLEEP,AFFORDANCE,48
181,1782810173814,SLEEP,RANDOM,181
181,1782810173847,SLEEP,AFFORDANCE,48
181,1782810173860,SLEEP,AFFORDANCE,48
181,1782810173862,SLEEP,RANDOM,181
181,1782810173863,SLEEP,AFFORDANCE,169
181,1782810173864,SLEEP,RANDOM,181
181,1782810173896,SLEEP,RANDOM,181
181,1782810173899,SLEEP,RANDOM,48
181,1782810173901,SLEEP,AFFORDANCE,169
181,1782810173959,APPROACH,AFFORDANCE,169
181,1782810173985,SLEEP,RANDOM,181
181,1782810174074,SLEEP,AFFORDANCE,173
181,1782810174097,SLEEP,RANDOM,173
181,1782810174100,SLEEP,RANDOM,181
181,1782810174108,SLEEP,AFFORDANCE,89
181,1782810174141,SLEEP,AFFORDANCE,119
181,1782810174143,SLEEP,RANDOM,181
181,1782810174257,SLEEP,AFFORDANCE,43
181,1782810174261,SLEEP,RANDOM,181
181,1782810174349,SLEEP,AFFORDANCE,169
181,1782810174351,SLEEP,RANDOM,181
181,1782810174456,WANDER,RANDOM,181
181,1782810174490,SLEEP,RANDOM,181
181,1782810174492,SLEEP,AFFORDANCE,167
181,1782810174493,SLEEP,AFFORDANCE,169
181,1782810174509,SLEEP,RANDOM,181
181,1782810174524,SLEEP,RANDOM,181
181,1782810174526,SLEEP,RANDOM,181
181,1782810174560,SLEEP,RANDOM,181
181,1782810174563,SLEEP,AFFORDANCE,173
181,1782810174639,SLEEP,AFFORDANCE,173
181,1782810174642,SLEEP,RANDOM,181
181,1782810174662,SLEEP,RANDOM,181
181,1782810174666,APPROACH,AFFORDANCE,89
181,1782810174667,SLEEP,AFFORDANCE,48
181,1782810174669,SLEEP,RANDOM,181
181,1782810174723,SLEEP,RANDOM,181
181,1782810174737,SLEEP,RANDOM,181
181,1782810174738,SLEEP,RANDOM,173
181,1782810174769,SLEEP,AFFORDANCE,169
181,1782810174772,SLEEP,AFFORDANCE,167
181,1782810174773,SLEEP,RANDOM,181
181,1782810174775,SLEEP,RANDOM,173
181,1782810174777,SLEEP,AFFORDANCE,173
181,1782810174779,SLEEP,AFFORDANCE,48
181,1782810174781,APPROACH,AFFORDANCE,43
181,1782810174783,APPROACH,AFFORDANCE,169
181,1782810174809,SLEEP,AFFORDANCE,173
181,1782810174811,SLEEP,RANDOM,181
181,1782810174904,SLEEP,AFFORDANCE,48
181,1782810174987,SLEEP,AFFORDANCE,169
181,1782810175030,SLEEP,AFFORDANCE,169
181,1782810175032,SLEEP,AFFORDANCE,173
181,1782810175034,SLEEP,RANDOM,169
181,1782810175048,SLEEP,AFFORDANCE,173
181,1782810175051,SLEEP,AFFORDANCE,48
181,1782810175053,SLEEP,AFFORDANCE,169
181,1782810175079,SLEEP,RANDOM,173
181,1782810175129,WANDER,RANDOM,181
181,1782810175143,APPROACH,AFFORDANCE,173
181,1782810175145,AVOID,RANDOM,119
181,1782810175151,SLEEP,RANDOM,181
181,1782810175166,SLEEP,RANDOM,181
181,1782810175168,SLEEP,AFFORDANCE,169
181,1782810175171,SLEEP,RANDOM,173
181,1782810175173,SLEEP,RANDOM,181
181,1782810175182,SLEEP,RANDOM,181
181,1782810175185,SLEEP,RANDOM,48
181,1782810175187,SLEEP,RANDOM,181
181,1782810175189,SLEEP,AFFORDANCE,173
181,1782810175207,SLEEP,AFFORDANCE,169
181,1782810175210,SLEEP,RANDOM,181
181,1782810175295,WANDER,RANDOM,181
181,1782810175324,WANDER,RANDOM,181
181,1782810175326,APPROACH,AFFORDANCE,167
181,1782810175327,SLEEP,RANDOM,181
181,1782810175329,SLEEP,RANDOM,181
181,1782810175330,SLEEP,AFFORDANCE,173
181,1782810175361,SLEEP,AFFORDANCE,48
181,1782810175363,SLEEP,RANDOM,89
