time,simpleEfficiency,complexEfficiency
0.001,,0.107715962592712
0.002,,0.10858971557562076
0.003,0.07610218923316125,0.11005423284966155
0.004,0.07610218923316125,0.11065433845186405
0.005,0.07647968058924662,
0.006,,0.1120807803934215
0.007,0.07707361458287695,
0.009,0.07766719232299787,0.12020203848221005
0.011,,0.12107013393528969
0.012,0.08319011077443897,
0.013,0.0788532798973351,
0.014,,0.11744848650972804
0.015,0.08319011077443897,0.12049140363323659
0.016,,0.12107013393528968
0.017,,0.13260702311082445
0.018,0.09102653572754255,
0.019,,0.13260702311082445
0.02,,0.13260702311082445
0.021,0.09161174422600027,0.13346946103407503
0.022,,0.1345469163710631
0.023,0.10054111144154826,0.14750007352466943
0.026,0.08181227933923102,
0.027,0.08299339579241807,0.12056375588519833
0.028,,0.12078081264108352
0.029,,0.12078081264108352
0.031,0.08476241508499326,0.12338312544340536
0.032,,0.12338312544340536
0.033,0.08593999349853369,0.12546237059013224
0.034,,0.12771241921960658
0.035,,0.12972913812748577
0.036,,0.13181607126733313
0.037,0.09107528358505856,0.13246319574330864
0.038,,0.13461876426959046
0.039,,0.1359108423089326
0.04,,0.13634140341825218
0.041,0.09394903121556236,0.13720213092550793
0.042,0.09472693301745008,0.1389224018058691
0.043,,0.1392089162635709
0.044,0.09589256118105567,0.13978194517897455
0.045,,0.13978194517897455
0.046,,0.13978194517897452
0.047,,0.13978194517897455
0.048,0.09589256118105567,0.14064069912931312
0.049,0.0982196254401194,
0.05,0.09909079213289876,0.14407374137375037
0.051,0.09938106488655075,0.14493091647855527
0.052,0.09938106488655075,0.15632220101042674
0.053,0.1073762660499711,0.15717371858540252
0.054,0.10823928214367413,0.1648111942384177
0.055,,0.1693354294313662
0.057,0.10555192492264011,0.14949023712780823
0.058,,0.15404955777706117
0.059,0.11492484705876448,
0.06,,0.1536369996775234
0.061,,0.15546371020101046
0.062,,0.16418364086853707
0.063,0.12042897221963487,0.1760881001827368
0.064,,0.1760881001827368
0.065,,0.17533429452864674
0.066,,0.15433359432441152
0.067,0.10632050924131668,
0.068,0.10689654410803087,0.15603827410512744
0.069,0.10747223345749053,0.15688992325056436
0.07,,0.1577411776846179
0.071,0.11034550469530822,0.15944171299580787
0.074,0.11853460309307072,
0.075,,0.17327755734709246
0.076,0.11386591678363675,
0.077,,0.16161393944605687
0.078,,0.1628404153498872
0.079,0.11206533447570036,0.1628404153498872
0.08,,0.16453700354724288
0.081,0.11435363061920434,0.1665137908201656
0.082,,0.16834850499838766
0.083,,0.16877156659142215
0.085,,0.17130756788132867
0.086,0.11834495771645036,0.17299626185101585
0.087,,0.17299626185101583
0.088,,0.17636891325378914
0.089,,0.17679000128990652
0.09,0.12146921888568733,
0.091,,0.17872598000644963
0.092,0.12231955639415978,0.17889425733634318
0.093,,0.17889425733634318
0.094,,0.18057584650112873
0.095,,0.1816959849510911
0.096,,0.1822558568203806
0.097,0.12684156103009603,0.1856111409222832
0.098,0.12796867475337226,
0.099,,0.18728641470493396
0.1,,0.18728641470493396
0.101,0.12909443675137797,0.188960109642051
0.102,0.12909443675137797,
0.103,0.13021868008459836,0.19230276297968407
0.104,,0.19347115227346026
0.105,,0.19412333722259686
0.106,,0.19563910093518228
0.107,,0.19730490164463085
0.108,0.13470302753276328,0.1984144486724713
0.109,,0.1989691235085457
0.11,0.1358207131542289,
0.111,0.13749472880448177,0.2014624959690423
0.112,0.13805206474969545,0.20229283069977433
0.113,0.1388874001652428,0.203288679780716
0.114,0.13916573393684323,0.2039523160270881
0.115,0.13972206757969824,0.20478146662366986
0.116,0.14360707067840342,0.20478146662366986
0.117,,0.2112972126733313
0.12,0.14609592863571685,0.2147004862947437
0.121,0.1471999509754675,0.21634813028055475
0.122,,0.21826834225518657
0.123,,0.2196386817155757
0.124,0.14967920393036682,0.2196386817155757
0.125,,0.2196386817155757
0.126,0.15022923138327188,0.2204603327958724
0.127,,0.2207340849188435
0.128,0.1513282967345134,0.22210245082231544
0.129,0.15187733502851325,0.22292291776846188
0.13,0.15242604399834397,0.22456266752660442
0.131,,0.2253819503386006
0.132,0.15352247475552,0.22620083843921326
0.133,0.15571139306345655,0.22947244372782985
0.134,0.1562578022884587,0.23001705342362688
0.135,0.15898493613547265,
0.136,0.15980144138317479,0.23518245791680112
0.137,,0.2359967081586586
0.138,0.16116076025540818,0.23681046501128677
0.139,0.1619753082401708,0.23794901412447608
0.14,,0.2384367945823929
0.141,0.16278920484713583,0.24006154530796528
0.142,,0.24052542147694303
0.143,0.16387320726978535,
0.144,0.1717829358626202,
0.145,0.1665775291369343,0.2449263244114803
0.146,0.1665775291369343,0.2449263244114803
0.147,0.16711742063580565,0.2457357394388908
0.148,0.1676569882969389,0.24654475975491785
0.149,,0.24816161625282177
0.15,,0.2481616162528218
0.152,0.16927375019576965,0.2489694524346986
0.153,,0.25461325378910044
0.155,,0.25541793227990983
0.156,0.17357091474934863,0.25541793227990983
0.157,0.17383876311237945,0.2564231883263464
0.158,0.1751770411553803,0.25782959948403755
0.159,,0.2579902194130927
0.16,0.1757117744946432,0.25863269912931325
0.161,,0.25883337536278633
0.162,0.1773140508192462,
0.163,,0.2610396297968398
0.164,0.1787358417205426,0.26264227668494045
0.165,0.17944593780958595,0.2634430080619156
0.166,,0.2658428339245406
0.168,0.18316413240342663,0.2697205412079054
0.169,,0.27063182844243805
0.17,0.18475332410170278,0.2722250022573365
0.171,,0.2728616402450824
0.172,0.185810985389089,0.2738165972267012
0.173,,0.27461180264430846
0.174,0.18686737824414182,0.27540661335053224
0.175,,0.2762010293453726
0.177,0.1884495925432354,0.27778867720090306
0.178,0.18897636474024715,0.2785819090615932
0.179,0.189239592854494,0.2785819090615932
0.18,0.1895028209687408,0.2797709674298615
0.181,0.1910802957377868,0.2817508893905193
0.182,,0.28254214769429226
0.183,0.19213036921280752,
0.184,0.19370311864908948,0.28570323379554996
0.185,0.19422673967588341,0.28649251854240576
0.186,0.19422673967588341,0.28649251854240576
0.187,0.19631808488256758,0.29003897129958073
0.188,,0.2912199380844888
0.189,0.1981438600448445,0.2925305445555196
0.19,0.1984044168790143,
0.191,0.1984044168790143,
0.192,0.20048574768250174,0.2959331480167685
0.193,0.20048574768250174,0.29632522476620415
0.194,0.20100530035250466,0.2975010603031278
0.195,,0.2982843585940016
0.196,0.20359839286785497,0.3014139335698157
0.197,0.20463345363574537,0.3018046288294094
0.198,,0.30219532408900307
0.199,,0.30219532408900307
0.2,0.20463345363574537,0.30219532408900307
0.201,0.20566727307566027,0.3037569209932275
0.202,,0.3037569209932275
0.203,0.20721567800162125,0.30609635601418833
0.204,0.20773119392457792,0.30687537826507516
0.205,,0.30752423454799466
0.206,,0.3077837112759318
0.207,0.20953302721867773,0.3084322386326984
0.208,0.2097901673027979,0.30998752015478803
0.209,0.21017564607231642,0.31076456884875764
0.21,,0.31154122283134394
0.211,,0.31231748210254673
0.212,0.2113311576942331,0.3136103265613234
0.213,0.21235694470969632,0.31386881651080206
0.214,0.21286937679787102,0.3158608518910941
0.216,0.2144048295975428,0.3177402450822305
0.217,,0.3190928768139299
0.218,0.21644780545485165,0.3200583656884865
0.219,,0.3208302831344716
0.22,0.21695778376278696,0.3208302831344716
0.221,,0.3208302831344716
0.222,0.21797682287651862,0.32237293389229166
0.223,,0.32375985914221095
0.224,,0.3253252406750497
0.225,0.2200112362290735,0.3254534988713305
0.226,,0.3254534988713305
0.227,,0.3254534988713305
0.228,0.22051907711983365,0.3262226533376317
0.229,0.2220407728440083,0.32891153627861835
0.23,0.22254739637804294,0.32939122170267504
0.231,,0.33044589809738645
0.232,0.22406544441145945,0.331595682683004
0.233,0.22507595944788197,
0.234,,0.3338923573040938
0.235,0.22633736137756438,
0.236,,0.33542171944533855
0.237,0.22709335530183228,0.3361857426636552
0.238,0.22709335530183228,
0.239,0.22709335530183228,0.3361857426636552
0.24,0.22759694819567525,0.3369493711705884
0.241,0.22759694819567525,
0.242,0.22759694819567525,
0.243,0.22826780137804017,0.33733098806836326
0.244,0.22935710807123078,0.33999993808448703
0.245,,0.3415228532731358
0.246,0.23111365076829954,0.34304399226055915
0.247,,0.3457026797807139
0.248,0.23411623373340737,0.3472196742986113
0.249,,0.34759872557239396
0.251,0.23511469505631813,0.34860887111684197
