time,target distance,affordance,memory,random,short term memory,world model
16771.0,0,1,0,0,0,0
17233.0,0,2,0,0,0,0
18948.0,0,3,0,0,0,0
30622.0,0,4,0,0,0,0
32391.0,0,5,0,0,0,0
33004.0,0,6,0,0,0,0
33933.0,0,7,0,0,0,0
35862.0,0,8,0,0,0,0
35999.0,0,9,0,0,0,0
36976.0,0,10,0,0,0,0
41072.0,0,11,0,0,0,0
44849.0,0,12,0,0,0,0
45418.0,0,13,0,0,0,0
46528.0,0,13,0,1,0,0
47981.0,0,14,0,1,0,0
48200.0,0,15,0,1,0,0
53478.0,0,16,0,1,0,0
53484.0,0,17,0,1,0,0
63165.0,0,18,0,1,0,0
63715.0,0,19,0,1,0,0
72295.0,0,19,0,2,0,0
72921.0,0,19,0,3,0,0
73009.0,0,20,0,3,0,0
73020.0,0,21,0,3,0,0
78206.0,0,22,0,3,0,0
79995.0,0,23,0,3,0,0
80310.0,0,24,0,3,0,0
82112.0,0,25,0,3,0,0
83128.0,0,26,0,3,0,0
84730.0,0,27,0,3,0,0
85034.0,0,28,0,3,0,0
85327.0,0,29,0,3,0,0
86221.0,0,30,0,3,0,0
86445.0,0,31,0,3,0,0
86734.0,0,32,0,3,0,0
89986.0,0,33,0,3,0,0
90500.0,0,34,0,3,0,0
90696.0,0,35,0,3,0,0
94043.0,0,36,0,3,0,0
96308.0,0,37,0,3,0,0
97644.0,0,38,0,3,0,0
97649.0,0,39,0,3,0,0
98205.0,0,40,0,3,0,0
98311.0,0,41,0,3,0,0
99046.0,0,42,0,3,0,0
99340.0,0,42,0,4,0,0
100496.0,0,43,0,4,0,0
101310.0,0,43,0,5,0,0
107724.0,0,44,0,5,0,0
110017.0,0,45,0,5,0,0
127169.0,0,45,0,6,0,0
127174.0,0,45,0,7,0,0
146060.0,0,46,0,7,0,0
146061.0,0,47,0,7,0,0
154695.0,0,48,0,7,0,0
154723.0,0,49,0,7,0,0
154760.0,0,50,0,7,0,0
156238.0,0,51,0,7,0,0
159075.0,0,52,0,7,0,0
159143.0,0,52,0,8,0,0
159525.0,0,53,0,8,0,0
159573.0,0,54,0,8,0,0
160091.0,0,55,0,8,0,0
162026.0,0,56,0,8,0,0
162439.0,0,57,0,8,0,0
162460.0,0,58,0,8,0,0
162481.0,0,59,0,8,0,0
162739.0,0,60,0,8,0,0
162880.0,0,61,0,8,0,0
162885.0,0,62,0,8,0,0
162959.0,0,63,0,8,0,0
163193.0,0,64,0,8,0,0
166105.0,0,65,0,8,0,0
167261.0,0,66,0,8,0,0
168258.0,0,67,0,8,0,0
169092.0,0,68,0,8,0,0
172823.0,0,69,0,8,0,0
172883.0,0,70,0,8,0,0
172967.0,0,70,0,9,0,0
174205.0,0,71,0,9,0,0
178092.0,0,72,0,9,0,0
255182.0,0,73,0,9,0,0
256757.0,0,74,0,9,0,0
256768.0,0,75,0,9,0,0
256834.0,0,76,0,9,0,0
257487.0,0,77,0,9,0,0
259437.0,0,78,0,9,0,0
259934.0,0,79,0,9,0,0
259973.0,0,80,0,9,0,0
261365.0,0,81,0,9,0,0
274237.0,0,82,0,9,0,0
276327.0,0,83,0,9,0,0
276348.0,0,84,0,9,0,0
