creature_key,onset_cycle,batch_index,batch_size,loss
180,15,0,8,2.818364
180,29,0,16,1.7760167
180,29,1,16,1.2134649
180,29,2,16,0.75362843
180,29,3,5,2.746849
180,46,0,16,1.7659436
180,46,1,16,1.2072079
180,46,2,16,0.7496029
180,46,3,16,0.89488083
180,46,4,16,0.5676504
180,46,5,7,2.4603643
180,60,0,16,1.7506037
180,60,1,16,1.198166
180,60,2,16,0.7442499
180,60,3,16,0.88863903
180,60,4,16,0.56417954
180,60,5,7,2.4480498
180,73,0,16,1.7403339
180,73,1,16,1.1915164
180,73,2,16,0.74040776
180,73,3,16,0.88426
180,73,4,16,0.5617083
180,73,5,16,1.0789099
180,73,6,16,0.42211947
180,73,7,9,2.121347
180,89,0,16,0.3674513
180,89,1,16,1.2663009
180,89,2,16,0.27896422
180,89,3,16,1.3738809
180,89,4,16,0.21005541
180,89,5,16,1.4248607
180,89,6,16,0.15943305
180,89,7,16,1.4975319
180,101,0,16,0.36619475
180,101,1,16,1.2622391
180,101,2,16,0.27811092
180,101,3,16,1.3698908
180,101,4,16,0.2094468
180,101,5,16,1.4207646
180,101,6,16,0.15903462
180,101,7,16,1.4936961
180,114,0,16,0.36531407
180,114,1,16,1.2595046
180,114,2,16,0.27754804
180,114,3,16,1.367277
180,114,4,16,0.20904933
180,114,5,16,1.418257
180,114,6,16,0.15877184
180,114,7,16,1.4913299
180,129,0,16,0.3662316
180,129,1,16,1.2703567
180,129,2,16,0.27577293
180,129,3,16,1.3474854
180,129,4,16,0.20934322
180,129,5,16,1.4345586
180,129,6,16,0.15802665
180,129,7,16,1.490196
180,141,0,16,0.36570936
180,141,1,16,1.2685059
180,141,2,16,0.27536574
180,141,3,16,1.3454746
180,141,4,16,0.20902771
180,141,5,16,1.4324175
180,141,6,16,0.15778467
180,141,7,16,1.4878668
180,156,0,16,0.36347046
180,156,1,16,1.2518024
180,156,2,16,0.2757862
180,156,3,16,1.3579205
180,156,4,16,0.20829281
180,156,5,16,1.4311855
180,156,6,16,0.1575824
180,156,7,16,1.484161
180,168,0,16,0.36424685
180,168,1,16,1.2607585
180,168,2,16,0.2749176
180,168,3,16,1.3579857
180,168,4,16,0.20779671
180,168,5,16,1.4276569
180,168,6,16,0.1572323
180,168,7,16,1.4811985
180,180,0,16,0.36364052
180,180,1,16,1.258591
180,180,2,16,0.2744942
180,180,3,16,1.3552818
180,180,4,16,0.2073734
180,180,5,16,1.4245745
180,180,6,16,0.15688697
180,180,7,16,1.4780192
180,195,0,16,0.31503966
180,195,1,16,1.3085246
180,195,2,16,0.23811015
180,195,3,16,1.3886021
180,195,4,16,0.17991811
180,195,5,16,1.4505502
180,195,6,16,0.13630521
180,195,7,16,1.2794263
180,208,0,16,0.31444657
180,208,1,16,1.3064058
180,208,2,16,0.23774807
180,208,3,16,1.3867117
180,208,4,16,0.17966796
180,208,5,16,1.4485208
180,208,6,16,0.13612878
180,208,7,16,1.2776568
180,220,0,16,0.31411204
180,220,1,16,1.3050615
180,220,2,16,0.23753463
180,220,3,16,1.3854973
180,220,4,16,0.17951371
180,220,5,16,1.4473782
180,220,6,16,0.13602544
180,220,7,16,1.2764959
180,235,0,16,0.313576
180,235,1,16,1.3039385
180,235,2,16,0.23697875
180,235,3,16,1.3852247
180,235,4,16,0.1794682
180,235,5,16,1.2298714
180,235,6,16,0.15575181
180,235,7,16,1.4510887
180,249,0,16,0.31343722
180,249,1,16,1.3033384
180,249,2,16,0.23688738
180,249,3,16,1.3845975
180,249,4,16,0.1793917
180,249,5,16,1.2292228
180,249,6,16,0.15568349
180,249,7,16,1.4503859
180,262,0,16,0.3129348
180,262,1,16,1.3034973
180,262,2,16,0.23670796
180,262,3,16,1.1685661
180,262,4,16,0.20553656
180,262,5,16,1.3969463
180,262,6,16,0.15600775
180,262,7,16,1.4675252
180,277,0,16,0.358941
180,277,1,16,1.2345287
180,277,2,16,0.27209273
180,277,3,16,1.3448408
180,277,4,16,0.20584722
180,277,5,16,1.4129751
180,277,6,16,0.15561068
180,277,7,16,1.4462588
180,289,0,16,0.35885546
180,289,1,16,1.2342266
180,289,2,16,0.27202815
180,289,3,16,1.3444433
180,289,4,16,0.20579244
180,289,5,16,1.4125934
180,289,6,16,0.15557228
180,289,7,16,1.4458807
180,301,0,16,0.35921317
180,301,1,16,1.2511535
180,301,2,16,0.27173626
180,301,3,16,1.3418926
180,301,4,16,0.20526247
180,301,5,16,1.3932593
180,301,6,16,0.15556854
180,301,7,16,1.4671936
180,314,0,16,0.3591494
180,314,1,16,1.2509426
180,314,2,16,0.2716951
180,314,3,16,1.3416774
180,314,4,16,0.20523158
180,314,5,16,1.3930843
180,314,6,16,0.15554684
180,314,7,16,1.4670174
180,340,0,16,0.35915878
180,340,1,16,1.2477702
180,340,2,16,0.27102855
180,340,3,16,1.3239307
180,340,4,16,0.20526697
180,340,5,16,1.4130104
180,340,6,16,0.15581068
180,340,7,16,1.4654284
180,354,0,16,0.35859084
180,354,1,16,1.2482285
180,354,2,16,0.27175015
180,354,3,16,1.3423501
180,354,4,16,0.20574574
180,354,5,16,1.4171441
180,354,6,16,0.15593936
180,354,7,16,1.468877
180,367,0,16,0.35857153
180,367,1,16,1.2480984
180,367,2,16,0.27170733
180,367,3,16,1.3421344
180,367,4,16,0.20572928
180,367,5,16,1.4170656
180,367,6,16,0.15591517
180,367,7,16,1.4687254
180,381,0,16,0.3591348
180,381,1,16,1.2487297
180,381,2,16,0.27203518
180,381,3,16,1.3444417
180,381,4,16,0.2061099
180,381,5,16,1.4133246
180,381,6,16,0.15567826
180,381,7,16,1.4663541
180,394,0,16,0.35977036
180,394,1,16,1.249947
180,394,2,16,0.2724788
180,394,3,16,1.3417561
180,394,4,16,0.20551065
180,394,5,16,1.4128138
180,394,6,16,0.15545091
180,394,7,16,1.445749
180,407,0,16,0.35973942
180,407,1,16,1.2497953
180,407,2,16,0.2724257
180,407,3,16,1.3414824
180,407,4,16,0.20547353
180,407,5,16,1.4124751
180,407,6,16,0.15541755
180,407,7,16,1.4453334
180,422,0,16,0.35967785
180,422,1,16,1.2495515
180,422,2,16,0.2723782
180,422,3,16,1.3411698
180,422,4,16,0.20542601
180,422,5,16,1.4121418
180,422,6,16,0.15538491
180,422,7,16,1.4450092
180,437,0,16,0.31317338
180,437,1,16,1.2971427
180,437,2,16,0.23596853
180,437,3,16,1.3794101
180,437,4,16,0.17849788
180,437,5,16,1.4204872
180,437,6,16,0.13523161
180,437,7,16,1.2697102
180,449,0,16,0.31314474
180,449,1,16,1.29695
180,449,2,16,0.23593391
180,449,3,16,1.3791866
180,449,4,16,0.17847161
180,449,5,16,1.42027
180,449,6,16,0.1352119
180,449,7,16,1.2695478
180,463,0,16,0.2712498
180,463,1,16,1.3408056
180,463,2,16,0.20495608
180,463,3,16,1.3928221
180,463,4,16,0.15529509
180,463,5,16,1.2480764
180,463,6,16,0.13550419
180,463,7,16,1.2705439
180,475,0,16,0.27122617
180,475,1,16,1.3407198
180,475,2,16,0.20493573
180,475,3,16,1.3927109
180,475,4,16,0.15528579
180,475,5,16,1.2479903
180,475,6,16,0.13548642
180,475,7,16,1.2703552
180,492,0,16,0.23553519
180,492,1,16,1.3596401
180,492,2,16,0.17852017
180,492,3,16,1.2234112
180,492,4,16,0.15560833
180,492,5,16,1.2489141
180,492,6,16,0.1354124
180,492,7,16,1.2708006
180,504,0,16,0.27157435
180,504,1,16,1.1273398
180,504,2,16,0.23603292
180,504,3,16,1.1641864
180,504,4,16,0.205573
180,504,5,16,1.4095494
180,504,6,16,0.155522
180,504,7,16,1.4638277
180,517,0,16,0.27153093
180,517,1,16,1.1272447
180,517,2,16,0.23601477
180,517,3,16,1.1641165
180,517,4,16,0.20555617
180,517,5,16,1.4094434
180,517,6,16,0.15550476
180,517,7,16,1.463684
180,531,0,16,0.2714952
180,531,1,16,1.1271086
180,531,2,16,0.23597895
180,531,3,16,1.1638607
180,531,4,16,0.205512
180,531,5,16,1.4091308
180,531,6,16,0.15547407
180,531,7,16,1.4633588
180,545,0,16,0.27141798
180,545,1,16,1.126786
180,545,2,16,0.23591651
180,545,3,16,1.1635572
180,545,4,16,0.2054699
180,545,5,16,1.4087924
180,545,6,16,0.15544185
180,545,7,16,1.4630321
180,557,0,16,0.3117182
180,557,1,16,1.0841433
180,557,2,16,0.2712216
180,557,3,16,1.3388118
180,557,4,16,0.20519912
180,557,5,16,1.4095819
180,557,6,16,0.15552922
180,557,7,16,1.4510615
180,571,0,16,0.31165308
180,571,1,16,1.0839707
180,571,2,16,0.27118894
180,571,3,16,1.3387393
180,571,4,16,0.2051704
180,571,5,16,1.4094219
180,571,6,16,0.15550397
180,571,7,16,1.4508681
180,585,0,16,0.35824338
180,585,1,16,1.2456731
180,585,2,16,0.27113137
180,585,3,16,1.3388606
180,585,4,16,0.20506486
180,585,5,16,1.4000101
180,585,6,16,0.1565668
180,585,7,16,1.4535993
180,597,0,16,0.3582267
180,597,1,16,1.2456893
180,597,2,16,0.2711155
180,597,3,16,1.3388284
180,597,4,16,0.20504203
180,597,5,16,1.3997557
180,597,6,16,0.15653838
180,597,7,16,1.4533011
180,610,0,16,0.35814452
180,610,1,16,1.2453197
180,610,2,16,0.27070615
180,610,3,16,1.3317736
180,610,4,16,0.20659788
180,610,5,16,1.3997563
180,610,6,16,0.15654616
180,610,7,16,1.4737304
180,625,0,16,0.35725296
180,625,1,16,1.2406328
180,625,2,16,0.27285144
180,625,3,16,1.3299742
180,625,4,16,0.20679893
180,625,5,16,1.4185199
180,625,6,16,0.15651032
180,625,7,16,1.4704998
180,637,0,16,0.35725507
180,637,1,16,1.2405282
180,637,2,16,0.27284274
180,637,3,16,1.3299382
180,637,4,16,0.20678097
180,637,5,16,1.418311
180,637,6,16,0.15649322
180,637,7,16,1.4703388
180,654,0,16,0.35995328
180,654,1,16,1.2389891
180,654,2,16,0.27336434
180,654,3,16,1.3473521
180,654,4,16,0.20654073
180,654,5,16,1.4158192
180,654,6,16,0.15639615
180,654,7,16,1.4732494
180,667,0,16,0.35995144
180,667,1,16,1.2389057
180,667,2,16,0.273348
180,667,3,16,1.3473843
180,667,4,16,0.20653932
180,667,5,16,1.4157959
180,667,6,16,0.15638818
180,667,7,16,1.47312
180,681,0,16,0.35992596
180,681,1,16,1.2389079
180,681,2,16,0.2733343
180,681,3,16,1.3472693
180,681,4,16,0.20652148
180,681,5,16,1.4157097
180,681,6,16,0.15638587
180,681,7,16,1.47312
180,693,0,16,0.36147594
180,693,1,16,1.2535709
180,693,2,16,0.27272674
180,693,3,16,1.3446236
180,693,4,16,0.2065381
180,693,5,16,1.4198488
180,693,6,16,0.15629913
180,693,7,16,1.4738228
180,705,0,16,0.36027852
180,705,1,16,1.2504041
180,705,2,16,0.2729875
180,705,3,16,1.3495787
180,705,4,16,0.20627671
180,705,5,16,1.4206532
180,705,6,16,0.15643875
180,705,7,16,1.4701401
180,718,0,16,0.3602574
180,718,1,16,1.2503902
180,718,2,16,0.2729767
180,718,3,16,1.3493849
180,718,4,16,0.20626625
180,718,5,16,1.4205815
180,718,6,16,0.15643589
180,718,7,16,1.4700404
180,735,0,16,0.36077648
180,735,1,16,1.2561202
180,735,2,16,0.27236572
180,735,3,16,1.3495733
180,735,4,16,0.20655204
180,735,5,16,1.4167247
180,735,6,16,0.15602091
180,735,7,16,1.4752729
180,750,0,16,0.3607548
180,750,1,16,1.2560455
180,750,2,16,0.2723671
180,750,3,16,1.3495643
180,750,4,16,0.20655234
180,750,5,16,1.4166771
180,750,6,16,0.15601596
180,750,7,16,1.4753374
180,766,0,16,0.3604772
180,766,1,16,1.2554785
180,766,2,16,0.27271768
180,766,3,16,1.3449748
180,766,4,16,0.20630594
180,766,5,16,1.4194673
180,766,6,16,0.1565456
180,766,7,16,1.4721339
180,778,0,16,0.31347084
180,778,1,16,1.3012569
180,778,2,16,0.23711537
180,778,3,16,1.3868707
180,778,4,16,0.17990345
180,778,5,16,1.4469416
180,778,6,16,0.13617995
180,778,7,16,1.275802
180,792,0,16,0.3134707
180,792,1,16,1.3012544
180,792,2,16,0.2371134
180,792,3,16,1.3868501
180,792,4,16,0.17989737
180,792,5,16,1.4468633
180,792,6,16,0.13617288
180,792,7,16,1.2756807
180,806,0,16,0.31345233
180,806,1,16,1.3011642
180,806,2,16,0.23709485
180,806,3,16,1.3867899
180,806,4,16,0.17989409
180,806,5,16,1.4467756
180,806,6,16,0.13616903
180,806,7,16,1.2756621
180,819,0,16,0.31344852
180,819,1,16,1.3011334
180,819,2,16,0.23708959
180,819,3,16,1.3868148
180,819,4,16,0.17989454
180,819,5,16,1.4467655
180,819,6,16,0.13616502
180,819,7,16,1.2756243
180,831,0,16,0.3131671
180,831,1,16,1.3049645
180,831,2,16,0.23768269
180,831,3,16,1.3846744
180,831,4,16,0.17968911
180,831,5,16,1.2300566
180,831,6,16,0.15626228
180,831,7,16,1.4716074
180,844,0,16,0.31316274
180,844,1,16,1.3049506
180,844,2,16,0.23768412
180,844,3,16,1.3846943
180,844,4,16,0.17968735
180,844,5,16,1.2300282
180,844,6,16,0.15626028
180,844,7,16,1.4715749
180,859,0,16,0.3131521
180,859,1,16,1.3049369
180,859,2,16,0.23767355
180,859,3,16,1.3846399
180,859,4,16,0.17968158
180,859,5,16,1.2299973
180,859,6,16,0.1562579
180,859,7,16,1.471545
180,871,0,16,0.31422
180,871,1,16,1.3026125
180,871,2,16,0.23724225
180,871,3,16,1.1695979
180,871,4,16,0.20631914
180,871,5,16,1.4174575
180,871,6,16,0.15625893
180,871,7,16,1.4719748
180,885,0,16,0.31421494
180,885,1,16,1.3025655
180,885,2,16,0.23723269
180,885,3,16,1.1695681
180,885,4,16,0.20631696
180,885,5,16,1.4174535
180,885,6,16,0.1562564
180,885,7,16,1.4719249
180,898,0,16,0.3134892
180,898,1,16,1.0896474
180,898,2,16,0.27271262
180,898,3,16,1.345042
180,898,4,16,0.20647852
180,898,5,16,1.4182104
180,898,6,16,0.15629554
180,898,7,16,1.4720405
180,910,0,16,0.31348908
180,910,1,16,1.0896366
180,910,2,16,0.27270862
180,910,3,16,1.3450428
180,910,4,16,0.20647775
180,910,5,16,1.4182023
180,910,6,16,0.15629384
180,910,7,16,1.4720622
180,925,0,16,0.3604382
180,925,1,16,1.2517926
180,925,2,16,0.27246225
180,925,3,16,1.3476293
180,925,4,16,0.20642401
180,925,5,16,1.4179581
180,925,6,16,0.156301
180,925,7,16,1.472366
180,939,0,16,0.36043137
180,939,1,16,1.2518183
180,939,2,16,0.27246362
180,939,3,16,1.3475901
180,939,4,16,0.20642531
180,939,5,16,1.4179844
180,939,6,16,0.15630218
180,939,7,16,1.47238
180,952,0,16,0.36002004
180,952,1,16,1.2542121
180,952,2,16,0.27266613
180,952,3,16,1.3468273
180,952,4,16,0.20658559
