time,simpleEfficiency,complexEfficiency
0.001,,0.107715962592712
0.002,,0.10888542871370369
0.003,0.07509867717269962,
0.004,0.0752907429860643,0.10946853284950538
0.005,0.0752907429860643,0.11033603740728797
0.006,,0.11261955763535546
0.007,,0.11640819594777954
0.008,0.10996289971462497,0.14835566978394066
0.009,0.11053674980255425,0.16142538578953028
0.011,0.10785583450544986,
0.012,,0.1700399619477588
0.013,,0.18169602880791147
0.014,,0.18211586692464798
0.015,0.1057441286499755,0.15433379168010322
0.017,0.11454407418142279,0.16651436095883052
0.018,0.11454407418142279,
0.019,0.13078054880912332,0.19146769171235092
0.02,,0.19230276297968407
0.021,0.1317159297393424,0.1931374395356337
0.022,0.1399072711451934,0.19951191314629696
0.023,0.14046332671577963,
0.024,0.12231955639415978,0.17847356401160924
0.025,,0.17889425733634318
0.026,0.12288599471183481,0.17973524927442772
0.027,,0.1797352492744277
0.028,0.12345209326845782,0.19174609265828238
0.029,,0.19655371313913084
0.03,0.14064854886093794,0.2053340144039558
0.031,0.14064854886093794,
0.032,0.13115482839535866,0.18431455900247246
0.033,0.13115482839535866,0.19252533462323995
0.034,,0.1954105823067829
0.035,0.14138906710838922,0.20676977026765578
0.036,,0.20809412189616264
0.037,0.14305306873684814,0.20974808126410852
0.038,0.14305306873684814,0.20974808126410852
0.039,0.15825850021542298,0.22464470830198158
0.041,,0.2594266326991295
0.043,0.1906342942288941,0.2867555257443837
0.044,0.19596987581268277,0.28912061700526714
0.046,0.2034257619505792,0.3003714655487478
0.048,,0.3115412228313447
0.049,0.20295340177751212,0.28741280253681606
0.05,0.20325254406624935,0.3014134599161559
0.051,,0.30219532408900335
0.052,,0.3029763198968073
0.053,0.21252778956903265,0.3141272187466406
0.054,0.21933364088272403,0.32545332344405004
0.055,0.22034983067784494,0.32596631237235274
0.056,0.22793237478685868,0.3369493711705898
0.057,0.22910591521118892,0.33923788842308894
0.058,0.24240024895329657,0.35942413372030496
0.059,,0.36167732430398747
0.06,0.2662809157327628,0.34147895136745376
0.061,,0.33159568268300477
0.062,0.23128074466153367,0.3501163048478979
0.063,0.23843425938801252,0.35841271632806554
0.064,,0.363615055465978
0.065,0.24651129486241494,0.35271694786627894
0.066,0.23044494090730164,0.343899723616037
0.067,,0.35289439148661633
0.068,0.2449232141967479,0.36865657271847707
0.069,,0.3743794216919265
0.07,0.2527208494919075,0.3753709938729433
0.071,0.2604166852025748,
0.072,,0.36993304708158553
0.073,0.24585490804525173,0.3650508934752219
0.074,0.23669310645241204,
0.075,0.23694209851300652,
0.076,0.22119572449643268,0.3270282945286454
0.077,0.20437476607332752,0.3021953240890022
0.078,0.2046334536357449,0.3021953240890022
0.079,,0.3034446016123817
0.08,0.2135521414874758,0.30531693905191726
0.081,0.2140638566726762,0.3169150420294514
0.082,0.22960830093127385,
0.083,,0.3159348064065339
0.084,0.21372274733135843,0.3159348064065339
0.085,0.21372274733135843,0.3159348064065339
0.086,0.22153384524464256,
0.087,0.22204077284400808,0.3285277484682343
0.088,0.22204077284400808,0.3292953240890018
0.09,0.2240654444114592,0.33236167945823747
0.091,,0.3338924888745547
0.093,0.22608526259354053,0.3346573015156382
0.094,0.22608526259354053,
0.095,0.2337831469473181,
0.096,0.21695778376278638,0.34633500204235
0.097,0.21695778376278638,0.32113889222831143
0.098,0.21797682287651815,0.3220644826830034
0.099,0.23244946665605254,0.3283577118969965
0.1,0.21610754781670236,0.3203157153606342
0.101,,0.32307185219821344
0.102,,0.33812865641907414
0.103,,0.3422837188003848
