time,target distance,affordance,memory,random,short term memory,world model
26611.0,0,0,0,1,0,0
31260.0,0,1,0,1,0,0
32436.0,0,2,0,1,0,0
33060.0,0,3,0,1,0,0
33108.0,0,4,0,1,0,0
35950.0,0,5,0,1,0,0
52039.0,0,6,0,1,0,0
52392.0,0,7,0,1,0,0
52962.0,0,8,0,1,0,0
52964.0,0,8,0,2,0,0
55989.0,0,9,0,2,0,0
56566.0,0,10,0,2,0,0
56918.0,0,11,0,2,0,0
57078.0,0,12,0,2,0,0
58063.0,0,13,0,2,0,0
61025.0,0,14,0,2,0,0
62843.0,0,15,0,2,0,0
62845.0,0,16,0,2,0,0
65740.0,0,16,0,3,0,0
66044.0,0,17,0,3,0,0
67131.0,0,18,0,3,0,0
82311.0,0,19,0,3,0,0
85231.0,0,20,0,3,0,0
89554.0,0,21,0,3,0,0
93195.0,0,22,0,3,0,0
93666.0,0,23,0,3,0,0
94220.0,0,24,0,3,0,0
110816.0,0,25,0,3,0,0
112165.0,0,26,0,3,0,0
112713.0,0,27,0,3,0,0
112719.0,0,28,0,3,0,0
112976.0,0,29,0,3,0,0
112977.0,0,30,0,3,0,0
112999.0,0,31,0,3,0,0
114463.0,0,32,0,3,0,0
115481.0,0,33,0,3,0,0
116226.0,0,34,0,3,0,0
116591.0,0,35,0,3,0,0
116632.0,0,36,0,3,0,0
117455.0,0,36,0,4,0,0
120129.0,0,37,0,4,0,0
120201.0,0,38,0,4,0,0
122650.0,0,39,0,4,0,0
123803.0,0,39,0,5,0,0
123836.0,0,40,0,5,0,0
124210.0,0,41,0,5,0,0
124244.0,0,41,0,6,0,0
124431.0,0,41,0,7,0,0
125894.0,0,42,0,7,0,0
126735.0,0,43,0,7,0,0
129015.0,0,44,0,7,0,0
132010.0,0,45,0,7,0,0
132760.0,0,46,0,7,0,0
133247.0,0,47,0,7,0,0
133254.0,0,48,0,7,0,0
133321.0,0,49,0,7,0,0
133952.0,0,50,0,7,0,0
136663.0,0,50,0,8,0,0
136839.0,0,51,0,8,0,0
137101.0,0,52,0,8,0,0
137766.0,0,53,0,8,0,0
138919.0,0,54,0,8,0,0
138935.0,0,55,0,8,0,0
139072.0,0,55,0,9,0,0
139681.0,0,56,0,9,0,0
139706.0,0,56,0,10,0,0
139998.0,0,57,0,10,0,0
140257.0,0,57,0,11,0,0
140725.0,0,58,0,11,0,0
141933.0,0,59,0,11,0,0
142410.0,0,60,0,11,0,0
150846.0,0,60,0,11,0,1
150848.0,0,61,0,11,0,1
154784.0,0,61,0,11,0,2
154786.0,0,62,0,11,0,2
158415.0,0,62,0,11,0,3
158869.0,0,62,0,11,0,4
159258.0,0,63,0,11,0,4
200895.0,0,63,0,11,0,5
202918.0,0,64,0,11,0,5
203561.0,0,65,0,11,0,5
203563.0,0,66,0,11,0,5
204951.0,0,66,0,11,0,6
205045.0,0,67,0,11,0,6
