creatureKey,action_time,action_type,selection_type,target_key
182,1782809331165,WANDER,RANDOM,182
182,1782809331182,SLEEP,RANDOM,182
182,1782809331203,SLEEP,AFFORDANCE,88
182,1782809331270,SLEEP,AFFORDANCE,47
182,1782809331316,SLEEP,AFFORDANCE,47
182,1782809331336,SLEEP,AFFORDANCE,77
182,1782809331342,SLEEP,RANDOM,182
182,1782809331356,SLEEP,AFFORDANCE,47
182,1782809331377,SLEEP,RANDOM,182
182,1782809331384,SLEEP,RANDOM,182
182,1782809331422,SLEEP,AFFORDANCE,47
182,1782809331552,SLEEP,AFFORDANCE,136
182,1782809331556,SLEEP,RANDOM,182
182,1782809331594,WANDER,RANDOM,182
182,1782809331617,AVOID,AFFORDANCE,47
182,1782809331623,SLEEP,AFFORDANCE,47
182,1782809331643,SLEEP,AFFORDANCE,58
182,1782809331748,SLEEP,RANDOM,136
182,1782809331751,SLEEP,RANDOM,182
182,1782809331754,SLEEP,RANDOM,182
182,1782809331792,SLEEP,AFFORDANCE,47
182,1782809331799,SLEEP,RANDOM,182
182,1782809331832,SLEEP,RANDOM,182
182,1782809331836,SLEEP,RANDOM,182
182,1782809331844,SLEEP,RANDOM,182
182,1782809331857,SLEEP,AFFORDANCE,88
182,1782809331873,SLEEP,RANDOM,182
182,1782809331925,WANDER,RANDOM,182
182,1782809331986,SLEEP,AFFORDANCE,77
182,1782809332014,SLEEP,RANDOM,47
182,1782809332046,SLEEP,AFFORDANCE,58
182,1782809332117,SLEEP,AFFORDANCE,25
182,1782809332124,SLEEP,RANDOM,182
182,1782809332155,SLEEP,RANDOM,182
182,1782809332160,SLEEP,AFFORDANCE,88
182,1782809332163,SLEEP,AFFORDANCE,47
182,1782809332177,SLEEP,RANDOM,182
182,1782809332180,SLEEP,AFFORDANCE,47
182,1782809332203,SLEEP,AFFORDANCE,47
182,1782809332206,WANDER,RANDOM,182
182,1782809332214,SLEEP,AFFORDANCE,47
182,1782809332223,SLEEP,RANDOM,182
182,1782809332228,SLEEP,RANDOM,182
182,1782809332242,SLEEP,AFFORDANCE,77
182,1782809332270,SLEEP,AFFORDANCE,136
182,1782809332301,SLEEP,AFFORDANCE,58
182,1782809332368,SLEEP,RANDOM,182
182,1782809332373,SLEEP,RANDOM,182
182,1782809332419,SLEEP,RANDOM,182
182,1782809332479,SLEEP,RANDOM,182
