id,creature_key,duration_ticks,onset_cycle,wake_cycle
823,182,10,1,12
955,181,10,1,12
1766,180,12,1,14
2235,181,11,14,26
2488,180,10,15,26
3002,182,10,18,29
3092,181,10,27,38
3352,180,11,28,40
4255,182,10,32,43
4632,180,11,43,55
4850,181,11,40,52
5536,182,10,44,55
5603,180,12,58,71
6556,181,11,57,69
7025,180,10,73,84
7065,182,11,56,68
7960,182,11,69,81
8132,181,10,74,85
8656,182,10,82,93
8786,180,10,86,97
9603,181,10,87,98
9964,182,12,94,107
10465,181,10,100,111
10942,180,11,99,111
11226,182,10,110,121
12307,181,12,112,125
12510,180,10,114,125
13022,182,13,123,137
13943,181,14,126,141
14239,180,11,128,140
14437,182,12,142,155
15251,181,11,145,157
15891,182,10,161,172
16234,180,10,148,159
16305,181,10,158,169
17057,181,10,170,181
17322,180,10,161,172
17620,182,11,174,186
18344,180,11,173,185
18472,182,10,188,199
18699,181,13,185,199
19702,180,10,186,197
19883,181,10,200,211
20095,182,12,203,216
20700,182,10,222,233
21061,180,11,199,211
21506,181,10,214,225
21811,181,10,226,237
21933,182,10,235,246
22240,180,10,214,225
22497,181,10,239,250
22499,182,10,248,259
23156,182,10,260,271
23802,180,13,228,242
24080,181,11,252,264
24368,182,10,272,283
25279,180,14,245,260
25630,182,10,286,297
26078,181,10,270,281
26655,180,10,261,272
26874,182,10,298,309
27514,181,13,287,301
28167,180,12,273,286
28444,182,10,311,322
28585,181,12,302,315
29089,180,10,287,298
30180,181,10,316,327
30312,180,10,301,312
31477,181,10,330,341
31493,182,12,325,338
31769,180,10,317,328
32425,180,10,329,340
32732,182,10,340,351
32938,181,11,342,354
34052,180,11,342,354
34905,181,10,357,368
35083,182,18,353,372
35255,180,10,356,367
36389,181,14,370,385
36569,180,11,368,380
36587,182,11,374,386
37792,182,11,391,403
37968,181,10,390,401
37996,180,11,383,395
39335,182,10,405,416
39833,180,10,396,407
40091,181,13,404,418
40640,181,11,419,431
40881,180,11,408,420
40983,182,13,417,431
41992,180,10,421,432
42228,182,12,432,445
42537,181,11,432,444
43303,180,10,435,446
43738,181,10,445,456
43897,182,10,446,457
44372,180,11,447,459
44885,182,10,458,469
45401,180,10,460,471
45511,181,10,460,471
46458,180,11,472,484
46568,181,10,473,484
47017,182,10,474,485
47181,181,10,487,498
48347,181,10,502,513
48656,180,12,487,500
48890,182,10,487,498
49099,181,10,515,526
50210,182,10,499,510
50242,181,10,529,540
50241,180,10,504,515
51164,181,10,541,552
51789,182,10,514,525
