id,action,actionselectiontype,key,sequential,changestimulusstate_id
46,SLEEP,RANDOM,182,0,42
37,SLEEP,RANDOM,181,0,34
84,SLEEP,RANDOM,180,0,81
145,SLEEP,RANDOM,181,0,133
160,SLEEP,RANDOM,180,0,157
173,SLEEP,RANDOM,182,0,170
210,SLEEP,RANDOM,180,0,207
232,SLEEP,RANDOM,182,0,226
246,SLEEP,AFFORDANCE,126,0,243
266,SLEEP,RANDOM,181,0,263
336,SLEEP,RANDOM,182,0,307
318,SLEEP,RANDOM,180,0,309
368,SLEEP,RANDOM,182,0,365
418,SLEEP,RANDOM,180,0,407
431,SLEEP,AFFORDANCE,59,0,426
482,SLEEP,RANDOM,182,0,479
517,SLEEP,AFFORDANCE,92,0,503
751,SLEEP,AFFORDANCE,145,0,699
755,SLEEP,RANDOM,182,0,752
816,SLEEP,AFFORDANCE,47,0,812
868,SLEEP,RANDOM,149,0,864
898,SLEEP,RANDOM,182,0,846
976,SLEEP,RANDOM,182,0,973
1010,SLEEP,AFFORDANCE,102,0,1007
1101,SLEEP,RANDOM,181,0,1095
1147,SLEEP,RANDOM,182,0,1144
1175,SLEEP,RANDOM,181,0,1168
1313,SLEEP,AFFORDANCE,149,0,1310
1431,AVOID,RANDOM,59,0,1401
1438,AVOID,AFFORDANCE,102,0,1435
1463,SLEEP,AFFORDANCE,26,0,1460
1456,WANDER,RANDOM,181,0,1451
1497,WANDER,RANDOM,182,0,1449
1549,SLEEP,RANDOM,180,0,1546
1562,SLEEP,RANDOM,95,0,1559
1643,SLEEP,RANDOM,74,0,1640
1679,SLEEP,AFFORDANCE,92,0,1675
1687,SLEEP,AFFORDANCE,145,0,1684
1714,SLEEP,AFFORDANCE,26,0,1711
1732,SLEEP,RANDOM,180,0,1729
1785,SLEEP,RANDOM,180,0,1750
1775,SLEEP,AFFORDANCE,59,0,1772
1800,SLEEP,AFFORDANCE,47,0,1797
1829,SLEEP,AFFORDANCE,107,0,1826
1961,SLEEP,AFFORDANCE,57,0,1958
1981,SLEEP,RANDOM,182,0,1978
2012,SLEEP,RANDOM,182,0,1998
2017,SLEEP,RANDOM,181,0,2002
2186,SLEEP,RANDOM,182,0,2150
2199,SLEEP,AFFORDANCE,102,0,2196
2315,SLEEP,AFFORDANCE,14,0,2312
2306,APPROACH,RANDOM,119,0,2302
2319,SLEEP,RANDOM,181,0,2316
2372,SLEEP,RANDOM,181,0,2365
2412,WANDER,RANDOM,180,0,2409
2442,SLEEP,AFFORDANCE,162,0,2439
2434,SLEEP,RANDOM,41,0,2431
2496,SLEEP,RANDOM,181,0,2493
2508,SLEEP,RANDOM,182,0,2502
2535,SLEEP,RANDOM,180,0,2532
2559,SLEEP,RANDOM,181,0,2549
2580,SLEEP,RANDOM,47,0,2577
2619,SLEEP,RANDOM,182,0,2616
2646,SLEEP,RANDOM,119,0,2643
2663,SLEEP,AFFORDANCE,59,0,2660
2696,SLEEP,RANDOM,26,0,2693
2750,WANDER,RANDOM,181,0,2747
