changestimulusstate_id,hunger_arausal,sleep_arausal,pain_arausal,fear_arausal
11,0.1815,0.1815,0,0
12,0.1815,0.1815,0,0
10,0.1815,0.1815,0,0
67,0.1815,0.18251570537953907,0,0
94,0.1815,0.18251570537953907,0,0
109,0.1815,0.18251570537953907,0,0
181,0.1815,0.18,0,0
196,0.1815,0.18,0,0
271,0.183,0.1815,0,0
292,0.183,0.18253139525976464,0,0
337,0.1815,0.18,0,0
343,0.1845,0.18403139525976464,0,0
356,0.183,0.1815,0,0
377,0.1845,0.1850784494164239,0,0
409,0.183,0.1815,0,0
437,0.1845,0.18,0,0
454,0.183,0.18253139525976464,0,0
467,0.1845,0.18,0,0
491,0.1845,0.18403139525976464,0,0
529,0.1845,0.1850784494164239,0,0
534,0.186,0.1815,0,0
518,0.183,0.18253139525976464,0,0
556,0.1845,0.18,0,0
585,0.183,0.18,0,0
591,0.186,0.18256266661678214,0,0
576,0.186,0.1815,0,0
612,0.1845,0.1815,0,0
617,0.1875,0.18406266661678214,0,0
629,0.186,0.18256266661678214,0,0
640,0.1875,0.18514088384930225,0,0
645,0.1845,0.18254705415665926,0,0
663,0.1875,0.18,0,0
669,0.186,0.18404705415665926,0,0
715,0.186,0.1851097207734414,0,0
726,0.186,0.18,0,0
737,0.186,0.18,0,0
757,0.1875,0.18,0,0
764,0.1875,0.18406266661678214,0,0
787,0.1875,0.1815,0,0
817,0.1875,0.18514088384930225,0,0
869,0.189,0.1815,0,0
878,0.1875,0.18,0,0
913,0.1875,0.1825782172325201,0,0
935,0.1875,0.18,0,0
958,0.1875,0.18,0,0
998,0.189,0.1840782172325201,0,0
1038,0.189,0.18259369065729286,0,0
1066,0.189,0.18517190788981297,0,0
1079,0.1905,0.18409369065729286,0,0
1086,0.189,0.18,0,0
1103,0.1905,0.18520276227799112,0,0
1159,0.189,0.18,0,0
1205,0.1905,0.18,0,0
1226,0.1905,0.1815,0,0
1282,0.1905,0.18260907162069825,0,0
1341,0.192,0.1815,0,0
1336,0.189,0.1815,0,0
1366,0.192,0.18410907162069826,0,0
1493,0.192,0.1852334165642807,0,0
1523,0.189,0.18259369065729286,0,0
1502,0.192,0.18262434494358243,0,0
1563,0.189,0.18,0,0
1630,0.1935,0.18412434494358243,0,0
1619,0.1905,0.1815,0,0
1635,0.1935,0.1867334165642807,0,0
1664,0.1935,0.18526384049660205,0,0
1689,0.195,0.18676384049660205,0,0
1669,0.1935,0.1878729121173003,0,0
