creatureKey,regulatingCount,batches
346,0,1016
346,1,54
346,2,28
346,3,29
346,4,26
346,5,88
346,6,12
346,7,4
346,8,12
346,9,15
346,10,22
346,11,4
346,12,2
346,13,6
346,14,9
346,15,8
346,16,5
346,17,3
346,18,3
346,19,2
346,20,3
346,21,3
346,22,4
346,23,3
346,24,5
346,25,3
346,26,1
346,29,1
346,30,4
346,31,2
346,32,1
346,34,2
346,35,1
346,37,3
346,39,1
346,40,2
346,42,1
346,43,1
346,45,2
346,46,1
346,47,3
346,48,1
346,50,1
346,52,1
346,55,2
346,57,1
346,59,1
346,64,1
346,71,1
346,73,1
346,76,2
346,94,1
346,98,1
346,99,1
