creatureKey,action_time,action_type,selection_type,target_key
346,1782742958442,WANDER,RANDOM,346
346,1782742958447,WANDER,RANDOM,346
346,1782742958450,SLEEP,RANDOM,346
346,1782742958453,SLEEP,RANDOM,346
346,1782742958484,SLEEP,RANDOM,346
346,1782742960000,SLEEP,RANDOM,158
346,1782742960008,SLEEP,AFFORDANCE,158
346,1782742960009,SLEEP,RANDOM,346
346,1782742960010,SLEEP,RANDOM,346
346,1782742960031,SLEEP,RANDOM,346
346,1782742960102,SLEEP,RANDOM,247
346,1782742960105,SLEEP,RANDOM,346
346,1782742960118,SLEEP,RANDOM,346
346,1782742960126,WANDER,RANDOM,346
346,1782742960127,WANDER,RANDOM,346
346,1782742960373,APPROACH,RANDOM,158
346,1782742960374,SLEEP,RANDOM,346
346,1782742960375,SLEEP,RANDOM,346
346,1782742960378,SLEEP,RANDOM,346
346,1782742960380,SLEEP,RANDOM,346
346,1782742960952,SLEEP,RANDOM,158
346,1782742960953,SLEEP,RANDOM,30
346,1782742960956,SLEEP,RANDOM,346
346,1782742960958,SLEEP,RANDOM,346
346,1782742960963,SLEEP,RANDOM,346
346,1782742961819,SLEEP,RANDOM,30
346,1782742961821,SLEEP,RANDOM,158
346,1782742961825,AVOID,RANDOM,247
346,1782742961833,AVOID,AFFORDANCE,158
346,1782742961836,SLEEP,RANDOM,346
346,1782742962041,SLEEP,RANDOM,30
346,1782742962047,SLEEP,RANDOM,346
346,1782742962055,SLEEP,RANDOM,346
346,1782742962056,SLEEP,RANDOM,346
346,1782742962057,SLEEP,RANDOM,346
346,1782742963627,SLEEP,RANDOM,158
346,1782742963628,SLEEP,RANDOM,158
346,1782742963629,SLEEP,AFFORDANCE,247
346,1782742963630,SLEEP,RANDOM,346
346,1782742963633,SLEEP,AFFORDANCE,30
346,1782742964482,SLEEP,RANDOM,247
346,1782742964484,SLEEP,AFFORDANCE,247
346,1782742964509,APPROACH,RANDOM,30
346,1782742964518,SLEEP,RANDOM,346
346,1782742964523,SLEEP,RANDOM,346
346,1782742964528,SLEEP,RANDOM,30
346,1782742964532,SLEEP,AFFORDANCE,158
346,1782742964535,SLEEP,RANDOM,346
346,1782742964539,SLEEP,AFFORDANCE,247
346,1782742964541,SLEEP,RANDOM,30
346,1782742964543,SLEEP,AFFORDANCE,247
346,1782742964544,SLEEP,RANDOM,346
346,1782742964546,SLEEP,RANDOM,346
346,1782742964553,SLEEP,RANDOM,346
346,1782742964555,SLEEP,RANDOM,346
346,1782742964583,SLEEP,AFFORDANCE,30
346,1782742964593,WANDER,RANDOM,346
346,1782742964595,SLEEP,RANDOM,346
346,1782742964596,SLEEP,AFFORDANCE,158
346,1782742964599,SLEEP,RANDOM,346
346,1782742964602,SLEEP,RANDOM,247
346,1782742964604,SLEEP,RANDOM,346
346,1782742964605,SLEEP,RANDOM,346
346,1782742964606,SLEEP,RANDOM,346
346,1782742964607,SLEEP,RANDOM,346
346,1782742964626,SLEEP,RANDOM,346
346,1782742964637,SLEEP,RANDOM,346
346,1782742964639,SLEEP,RANDOM,346
346,1782742964643,WANDER,RANDOM,346
346,1782742964651,SLEEP,RANDOM,346
346,1782742965274,SLEEP,RANDOM,30
346,1782742965277,SLEEP,RANDOM,158
346,1782742965291,SLEEP,AFFORDANCE,30
346,1782742965293,SLEEP,RANDOM,247
