time,simpleEfficiency,complexEfficiency
0.002,,0.107715962592712
0.003,,0.10815283908416638
0.005,,0.11065433845186405
0.006,,0.11065433845186405
0.007,,0.11213551347980494
0.008,,0.11263188197736074
0.009,,0.1120807803934215
0.037,0.0849587762985337,0.12367205202622808
0.04,0.11111025568370322,
0.041,0.119861059246112,0.17496436547350322
0.047,0.13684403890570984,0.20118545458454265
0.051,0.1393512155746072,0.2042287434161024
0.059,0.17124584451284547,
0.06,0.17124584451284547,0.25192814145974424
0.062,0.17124584451284547,0.25192814145974424
0.063,0.17124584451284547,0.25192814145974424
0.064,0.17124584451284544,0.25192814145974424
0.065,,0.25192814145974424
0.067,0.17124584451284547,0.25192814145974424
0.074,0.17124584451284547,
0.075,0.17124584451284544,0.25192814145974424
0.079,0.17124584451284544,0.25192814145974424
0.108,0.18192668118890248,
0.109,0.16097964096280037,
0.11,0.1620657484284828,0.23816584929592613
0.111,,0.2397906658067291
0.114,0.1836943928589509,
0.115,,0.2706318284424381
0.116,0.1836943928589509,0.2706318284424381
0.121,0.1836943928589509,0.2706318284424381
0.122,0.18369439285895087,0.2706318284424381
0.123,0.185810985389089,0.27461180264430846
0.125,0.18897636474024715,0.280761224443728
0.126,0.1944880791659009,0.28701831366225966
0.128,0.14674014406181826,
0.129,0.15461759058490188,0.22309618001361586
0.131,0.16342110318674682,0.23396053982586282
0.143,0.17214081777378804,
0.144,0.17214081777378804,0.2532712458346773
0.145,0.17214081777378804,0.2532712458346773
0.146,,0.2532712458346773
0.165,0.17749190355654926,
0.166,0.1600735009425982,0.23518255659464726
0.167,0.1600735009425982,0.23518255659464726
0.168,,0.23518255659464726
0.17,0.15952938182375148,0.23436801031925195
0.171,0.15952938182375148,0.23436801031925195
0.174,0.16495590966969745,0.24249571106094817
0.176,0.16495590966969745,0.24249571106094817
0.179,0.16495590966969745,
0.18,0.16495590966969745,0.24249571106094817
0.181,0.16495590966969745,0.24249571106094817
0.184,0.16495590966969745,0.24249571106094817
0.204,0.1773140508192462,
0.205,0.17838063388043643,0.26264227668494045
0.206,,0.26264227668494045
0.239,0.1836943928589509,
0.24,0.1836943928589509,0.27063182844243805
0.257,0.18633934027553897,
0.258,0.18633934027553897,0.27461180264430846
0.259,0.18633934027553897,
0.261,0.18633934027553897,0.27461180264430846
0.277,0.19160548998631366,0.28254214769429226
0.278,,0.28254214769429226
0.279,0.19160548998631366,
0.28,0.19160548998631366,0.28254214769429226
0.287,0.19723144193529138,0.2912199380844888
0.294,0.19944570667992412,0.29436365688487565
0.304,0.20204347096513356,0.29828442437923214
0.325,0.20463345363574537,
0.326,0.20515051842861412,0.302976319896807
0.327,0.20721567800162125,0.30668062270235347
0.332,0.2097901673027979,0.30998752015478803
0.333,,0.3099875201547881
0.347,0.21491603332333042,0.3177402450822305
0.348,,0.3177402450822305
0.349,,0.3177402450822305
0.35,0.21874026196294882,0.32417065376760057
0.351,0.2235597319795481,
0.352,0.2235597319795481,0.331595682683004
0.357,0.22759694819567525,0.3369493711705884
0.358,0.22759694819567525,0.3369493711705884
0.364,0.2301103853103386,
0.365,0.23061216852913327,0.3422837188003851
0.367,0.23261629341282297,0.34456394711383226
0.369,0.23261629341282297,0.34456394711383226
0.37,0.23261629341282297,
0.371,,0.34456394711383226
0.395,0.24256508575260843,
0.396,0.24256508575260843,0.3596746855852926
0.397,0.24528010170600953,0.3644266627969446
0.398,0.24749489103284492,0.36717084811350903
0.405,0.24749489103284492,0.36717084811350903
0.406,,0.36717084811350903
0.43,0.25239520604068794,0.37462753950338296
0.431,,0.37462753950338296
0.433,0.25239520604068794,0.37462753950338296
0.434,0.25239520604068794,0.37462753950338296
0.45,0.25726620718800697,0.38278431086745884
0.452,,0.3857385682038018
0.453,,0.3857385682038018
0.469,,0.3899129115339102
0.47,,0.39015811286681357
0.486,0.2645181287259895,0.39309658174781964
0.492,0.26596069739298883,0.3963947610448205
0.503,,0.40041512415349495
0.522,,0.4040595936794542
0.523,,0.4040595936794542
0.532,0.2740863868139281,0.40769419542082785
0.537,,0.40769419542082785
0.552,,0.4149337955498183
0.569,,0.41853879393743504
0.593,,0.41853879393743504
0.61,,0.41853879393743504
0.611,,0.41853879393743504
0.62,,0.41853879393743504
0.641,,0.41853879393743504
0.654,,0.4311973810598683
0.655,,0.4317914382457223
0.669,,0.4399615607868378
0.67,,0.4399615607868378
0.689,,0.4434974846823552
0.705,,0.4475866835214394
0.72,,0.4505397291196334
0.721,,0.4505397291196334
0.736,,0.45404604966139395
0.737,,0.45474612963559585
0.753,,0.4575425024185689
0.77,,0.46102908739115833
0.785,,0.4645058045791621
0.786,,0.4645058045791621
0.802,,0.46797265398258026
0.819,,0.47142963560141277
0.838,,0.47487674943565955
0.857,,0.478313995485321
0.872,,0.48174137375039655
0.887,,0.48515888423088666
0.891,0.3269303453762562,
0.892,0.3269303453762562,0.4885665269267911
0.894,0.3269303453762562,
0.895,,0.4885665269267911
0.904,0.33135547464082493,0.49535220896484317
0.905,,0.49535220896484317
0.919,,0.49873024830699075
0.93,0.335754132623067,0.5020984198645526
0.931,0.335754132623067,0.5020984198645526
0.933,0.335754132623067,0.5020984198645526
0.934,0.335754132623067,0.5020984198645526
0.936,0.335754132623067,0.5020984198645526
0.937,0.335754132623067,0.5020984198645526
0.947,0.34879285766678275,
0.948,0.3495103439703294,0.523421048693962
0.949,0.3496537895751258,0.523421048693962
0.95,0.3496537895751258,0.523421048693962
0.953,0.3496537895751258,0.523421048693962
0.954,0.3496537895751258,0.523421048693962
0.955,0.3496537895751258,0.523421048693962
0.958,0.35351522385558215,0.5293452138019917
0.959,0.3560774417448961,0.533274369042237
0.96,,0.5365424417929626
0.965,0.3679161246807356,
0.966,0.36861449803993246,0.5520797059013155
0.968,0.3700092350712751,0.5546471460819024
0.969,0.3700092350712751,0.5546471460819025
0.97,0.3700092350712751,0.5546471460819025
0.972,0.3700092350712751,0.5546471460819025
0.973,0.3735531121348382,0.5601882240137527
0.974,0.3766651469203908,
0.975,0.3766651469203908,0.5648537529829026
0.988,0.38448649784020883,
0.989,0.38448649784020883,0.5768428571428516
0.991,0.38530462306948793,0.5790357852305653
0.995,0.3885673241318213,
0.996,,0.5830956788132807
0.997,0.3885673241318213,0.5830956788132807
0.998,0.3885673241318213,0.5830956788132807
0.999,0.3885673241318213,0.5830956788132807
1.0,0.3885673241318213,0.5830956788132807
1.003,0.3885673241318213,
1.004,0.3885673241318213,0.5830956788132807
1.007,0.3885673241318213,0.5830956788132807
1.008,0.3885673241318213,0.5830956788132807
1.009,0.3885673241318213,0.5830956788132807
1.01,0.3887706929178449,0.5839263622487317
1.011,0.3897868050862653,
1.014,0.3991635804299437,0.5995767244974693
1.015,0.40066391636115845,0.6016173169945134
1.016,,0.6016173169945134
1.018,0.4046479687536641,
1.019,0.4064322655871576,0.6104408648822919
1.02,0.41136623805166345,0.6179830609480774
1.021,0.411562769215003,0.6179830609480774
1.022,0.41801586227367005,0.6291287128883122
1.023,0.42112231294570734,0.6331753376330185
1.024,0.42189657893651167,0.6346510158013513
1.025,0.42498359746482794,0.6392828044179268
1.026,0.4275452541354554,0.6422837855069765
1.027,0.42843980664038395,0.6440366230248279
1.028,0.43009693927330583,0.6469489029345346
1.032,0.4337784585354096,0.65274372782973
1.036,0.4375644185462913,0.6580075398719284
1.038,0.43944889715937424,0.6607904869396948
1.039,,0.6607904869396948
1.041,0.43944889715937424,0.6607904869396948
1.051,0.44878695319383144,
1.052,0.4489722615098193,0.6755287765237006
1.053,0.44989813631325576,
1.054,0.44989813631325576,0.6766516517252484
1.055,0.44989813631325576,0.6766516517252484
1.056,0.44989813631325576,0.6766516517252484
1.057,0.45192942627111665,0.6788891131892925
1.058,0.45404722887813664,0.6829834947866269
1.077,0.465246501648047,
1.078,0.465246501648047,0.6998631731699446
1.081,0.46686811889779,0.7025800709448561
1.087,0.46884421869387666,0.7052871009351819
1.102,0.47063499852496377,
1.103,0.4709925102616025,0.7085225114479198
1.107,0.47242041406701435,
1.108,0.47242041406701435,0.7106715575620767
1.11,0.47242041406701435,0.7106715575620767
1.112,0.4736669951162404,0.7128142882940987
1.113,0.4750884878543592,0.7147728663871872
1.114,0.47809788263992964,0.7193812413200046
1.115,0.4791563535415792,0.7213220574008387
