creatureKey,regulatingCount,batches
97,0,1740
97,1,289
97,2,181
97,3,115
97,4,112
97,5,250
97,6,56
97,7,36
97,8,35
97,9,26
97,10,50
97,11,13
97,12,9
97,13,13
97,14,10
97,15,27
97,16,8
97,17,8
97,18,8
97,19,9
97,20,12
97,21,5
97,22,6
97,23,2
97,24,6
97,25,9
97,26,2
97,27,5
97,28,1
97,29,4
97,30,5
97,31,1
97,32,6
97,33,2
97,34,4
97,35,6
97,36,2
97,37,1
97,38,3
97,39,1
97,40,4
97,42,1
97,45,1
97,46,2
97,49,2
97,50,1
97,52,1
97,53,1
97,57,1
97,59,2
97,60,1
97,61,2
97,64,1
97,65,1
97,66,1
97,70,1
97,76,1
97,79,1
97,85,1
97,86,1
97,87,1
97,90,1
97,92,1
97,104,1
97,106,1
97,117,1
97,120,1
97,133,1
97,151,1
97,160,1
