time,hunger,sleep
0.002,0.1815,0.1815
0.003,0.183,0.183
0.016,0.18525,0.18225
0.017,0.189,0.186
0.022,0.19275,0.18975
0.023,0.195,0.18
0.036,0.1965,0.1815
0.037,0.19800000000000004,0.1815
0.038,0.20175,0.18525
0.04,0.2025,0.18
0.043,0.20475000000000002,0.18225
0.044,0.20700000000000002,0.1845
0.045,0.20925000000000002,0.18675
0.048,0.21150000000000002,0.189
0.049,0.21375000000000002,0.19125
0.05,0.22083333333333335,0.18666666666666665
0.051,0.22650000000000003,0.1815
0.058,0.22725000000000004,0.18075
0.059,0.23160000000000008,0.1827
0.06,0.23670000000000005,0.18419999999999997
0.061,0.2503333333333334,0.19533333333333333
0.062,0.25500000000000006,0.18
0.063,0.25612500000000005,0.18112499999999998
0.064,0.26100000000000007,0.18600000000000003
0.068,0.26475000000000004,0.18975
0.069,0.2707500000000001,0.19575
0.07,0.28200000000000014,0.20700000000000005
0.071,0.2940000000000001,0.21900000000000003
0.072,0.3000000000000001,0.22500000000000003
0.073,0.30225000000000013,0.22725000000000004
0.074,0.3045000000000001,0.22950000000000004
0.075,0.3060000000000001,0.23100000000000004
0.076,0.3075000000000001,0.23250000000000004
0.096,0.3127500000000001,0.23775000000000004
0.097,0.32025000000000015,0.24525000000000005
0.111,0.32700000000000007,0.25200000000000006
0.112,0.3300000000000001,0.17999999999999997
0.113,0.3300000000000001,0.18
0.114,0.3300000000000001,0.17999999999999997
0.115,0.33300000000000013,0.18299999999999997
0.116,0.3363750000000001,0.181875
0.117,0.3375000000000001,0.18
0.12,0.34200000000000014,0.1845
0.121,0.34950000000000014,0.192
0.122,0.3562500000000002,0.19875000000000004
0.123,0.3622500000000002,0.20475000000000002
0.124,0.3684375000000002,0.1884375
0.125,0.3738750000000002,0.18112499999999998
0.126,0.3782142857142859,0.18321428571428572
0.127,0.3825000000000002,0.18
0.135,0.38625000000000015,0.18375000000000002
0.136,0.39075000000000015,0.18825
0.137,0.39525000000000016,0.19275
0.14,0.3975000000000002,0.18000000000000002
0.141,0.40125000000000016,0.18375
0.142,0.41175000000000017,0.18674999999999997
0.143,0.4200000000000002,0.195
0.144,0.4200000000000002,0.18
0.167,0.4215000000000002,0.1815
0.168,0.42600000000000016,0.1835
0.169,0.4290000000000002,0.1815
0.17,0.43275000000000025,0.18525
0.171,0.43725000000000025,0.18975
0.172,0.4410000000000003,0.1935
0.176,0.44400000000000023,0.1965
0.177,0.45225000000000026,0.20475
0.178,0.46050000000000024,0.18825
0.18,0.4624285714285717,0.1812857142857143
0.181,0.4695000000000003,0.18192857142857144
0.185,0.47250000000000025,0.18
0.186,0.47250000000000025,0.18
0.195,0.47400000000000025,0.1815
0.196,0.47550000000000026,0.183
0.197,0.47775000000000023,0.18525
0.208,0.3300000000000001,0.1875
0.209,0.18583333333333335,0.18666666666666668
0.21,0.1965,0.18899999999999997
0.211,0.21210000000000004,0.2016
0.212,0.22240909090909095,0.18490909090909088
0.213,0.23550000000000001,0.198
0.214,0.24450000000000002,0.20700000000000002
0.215,0.25275000000000003,0.21525000000000002
0.216,0.26025000000000004,0.22275000000000003
0.217,0.26550000000000007,0.22800000000000006
0.218,0.2692500000000001,0.23175000000000004
0.225,0.2715000000000001,0.20700000000000002
0.226,0.2760000000000001,0.1813125
0.227,0.2775000000000001,0.18
0.228,0.28133333333333344,0.18150000000000002
0.229,0.2850000000000001,0.18000000000000002
0.23,0.2850000000000001,0.18
0.241,0.29250000000000015,0.1875
0.242,0.3003000000000001,0.18329999999999996
0.257,0.3096000000000001,0.18810000000000002
0.258,0.3166666666666668,0.18166666666666664
0.259,0.3247500000000001,0.18975
0.26,0.33150000000000013,0.19650000000000004
0.261,0.33975000000000016,0.20475
0.262,0.34500000000000014,0.21000000000000002
0.263,0.34950000000000014,0.2145
0.264,0.35700000000000015,0.22200000000000003
0.265,0.3618000000000002,0.18180000000000002
0.266,0.36600000000000016,0.186
0.268,0.3703333333333335,0.18266666666666664
0.281,0.37800000000000017,0.18899999999999997
0.282,0.3890000000000002,0.19575
0.283,0.4050000000000002,0.1905
0.284,0.41863636363636386,0.19022727272727272
0.285,0.4200000000000002,0.18000000000000002
0.286,0.4200000000000002,0.18
0.287,0.4200000000000002,0.18
0.288,0.4200000000000002,0.18000000000000002
0.289,0.4200000000000002,0.18
0.297,0.42600000000000027,0.186
0.298,0.4327500000000002,0.19275
0.299,0.43650000000000017,0.1965
0.3,0.4410000000000003,0.20099999999999998
0.303,0.4447500000000002,0.20475000000000002
0.304,0.4485000000000003,0.20850000000000002
0.309,0.4500000000000003,0.18
0.31,0.45000000000000023,0.18
0.311,0.45000000000000023,0.18
0.312,0.4530000000000003,0.18299999999999997
0.313,0.45750000000000024,0.1875
0.314,0.4642500000000003,0.19425000000000003
0.315,0.4737692307692311,0.18357692307692305
0.316,0.4812857142857146,0.1812857142857143
0.317,0.48675000000000024,0.18675
0.318,0.48800000000000027,0.1805
0.319,0.49275000000000024,0.18525000000000003
0.324,0.5000000000000002,0.18999999999999997
0.325,0.505,0.1825
0.326,0.5174999999999996,0.19500000000000003
0.327,0.5264999999999993,0.20400000000000001
0.328,0.5279999999999992,0.20550000000000002
0.329,0.5331428571428563,0.19692857142857143
0.33,0.5416249999999988,0.18162499999999995
0.331,0.5474999999999985,0.183
0.332,0.5519999999999984,0.1875
0.333,0.5576999999999981,0.183
0.334,0.561749999999998,0.18375
0.336,0.563999999999998,0.186
0.337,0.5677499999999978,0.18974999999999997
0.338,0.5744999999999976,0.19649999999999998
0.339,0.5819999999999974,0.20400000000000001
0.341,0.589499999999997,0.21150000000000002
0.342,0.5924999999999969,0.18
