creatureKey,action_time,action_type,selection_type,target_key
94,1782155542033,SLEEP,RANDOM,94
94,1782155542102,WANDER,RANDOM,94
94,1782155542111,SLEEP,RANDOM,94
94,1782155542151,WANDER,RANDOM,94
94,1782155542202,WANDER,RANDOM,94
94,1782155543138,APPROACH,AFFORDANCE,45
94,1782155543140,APPROACH,AFFORDANCE,27
94,1782155543142,SLEEP,RANDOM,94
94,1782155543144,WANDER,RANDOM,94
94,1782155543155,SLEEP,RANDOM,94
94,1782155543158,AVOID,RANDOM,89
94,1782155543202,WANDER,RANDOM,94
94,1782155543205,SLEEP,RANDOM,94
94,1782155543207,APPROACH,RANDOM,21
94,1782155543248,AVOID,RANDOM,45
94,1782155543254,APPROACH,RANDOM,45
94,1782155543257,WANDER,RANDOM,94
94,1782155543318,SLEEP,AFFORDANCE,27
94,1782155543324,SLEEP,RANDOM,94
94,1782155543340,AVOID,AFFORDANCE,43
94,1782155543362,AVOID,RANDOM,89
94,1782155543364,APPROACH,AFFORDANCE,49
94,1782155543418,SLEEP,RANDOM,94
94,1782155543419,APPROACH,RANDOM,45
94,1782155543421,WANDER,RANDOM,94
94,1782155543462,APPROACH,RANDOM,45
94,1782155543465,WANDER,RANDOM,94
94,1782155543478,WANDER,RANDOM,94
94,1782155543480,WANDER,RANDOM,94
94,1782155543482,WANDER,RANDOM,94
94,1782155543486,AVOID,RANDOM,49
94,1782155543534,APPROACH,RANDOM,45
94,1782155543589,WANDER,RANDOM,94
94,1782155543608,WANDER,RANDOM,94
94,1782155543699,WANDER,RANDOM,94
94,1782155543713,APPROACH,AFFORDANCE,40
94,1782155543715,WANDER,RANDOM,94
94,1782155543717,SLEEP,RANDOM,94
94,1782155543728,WANDER,RANDOM,94
94,1782155543792,WANDER,RANDOM,94
94,1782155543795,SLEEP,RANDOM,89
94,1782155543810,APPROACH,AFFORDANCE,45
94,1782155543830,APPROACH,AFFORDANCE,40
94,1782155543832,WANDER,RANDOM,94
94,1782155543833,SLEEP,AFFORDANCE,27
94,1782155543850,SLEEP,AFFORDANCE,89
94,1782155543852,AVOID,RANDOM,45
94,1782155543872,SLEEP,RANDOM,94
94,1782155543875,SLEEP,AFFORDANCE,40
94,1782155543876,AVOID,RANDOM,45
94,1782155543878,SLEEP,RANDOM,45
94,1782155543932,SLEEP,RANDOM,94
94,1782155544037,WANDER,RANDOM,94
94,1782155544040,SLEEP,AFFORDANCE,49
94,1782155544043,WANDER,RANDOM,94
94,1782155544052,APPROACH,AFFORDANCE,45
94,1782155544055,SLEEP,RANDOM,94
94,1782155544108,APPROACH,AFFORDANCE,45
94,1782155544110,APPROACH,AFFORDANCE,27
94,1782155544340,AVOID,AFFORDANCE,27
94,1782155545412,SLEEP,RANDOM,89
94,1782155545421,APPROACH,AFFORDANCE,45
94,1782155545424,SLEEP,RANDOM,94
94,1782155545434,WANDER,RANDOM,94
94,1782155545436,WANDER,RANDOM,94
94,1782155545500,APPROACH,AFFORDANCE,89
94,1782155545516,SLEEP,AFFORDANCE,21
94,1782155545533,APPROACH,RANDOM,27
94,1782155545540,AVOID,AFFORDANCE,45
94,1782155545547,AVOID,AFFORDANCE,45
94,1782155545549,SLEEP,RANDOM,21
94,1782155545550,WANDER,RANDOM,94
94,1782155545551,WANDER,RANDOM,94
94,1782155545552,SLEEP,RANDOM,94
94,1782155545568,WANDER,RANDOM,94
94,1782155546124,SLEEP,RANDOM,89
94,1782155546150,AVOID,AFFORDANCE,45
94,1782155546169,AVOID,AFFORDANCE,40
94,1782155546177,SLEEP,RANDOM,94
94,1782155546189,SLEEP,RANDOM,94
94,1782155546200,AVOID,AFFORDANCE,27
94,1782155546201,SLEEP,AFFORDANCE,89
94,1782155546203,AVOID,AFFORDANCE,21
94,1782155546503,AVOID,AFFORDANCE,45
94,1782155546505,SLEEP,RANDOM,94
94,1782155546632,AVOID,RANDOM,45
94,1782155546636,SLEEP,RANDOM,45
94,1782155546637,APPROACH,AFFORDANCE,45
94,1782155546639,SLEEP,RANDOM,94
94,1782155546643,WANDER,RANDOM,94
94,1782155547325,SLEEP,RANDOM,45
