time,target distance,affordance,memory,random,short term memory
8076.0,0,0,0,1,0
26463.0,0,0,0,2,0
26976.0,0,1,0,2,0
28194.0,0,2,0,2,0
28949.0,0,3,0,2,0
43151.0,0,4,0,2,0
43339.0,0,5,0,2,0
43405.0,0,6,0,2,0
43407.0,0,7,0,2,0
45390.0,0,8,0,2,0
71630.0,0,8,0,3,0
86660.0,0,9,0,3,0
86665.0,0,10,0,3,0
86687.0,0,11,0,3,0
86694.0,0,11,0,4,0
102098.0,0,11,0,5,0
102113.0,0,12,0,5,0
102154.0,0,13,0,5,0
102162.0,0,14,0,5,0
102181.0,0,15,0,5,0
107346.0,0,15,0,6,0
107597.0,0,16,0,6,0
134195.0,0,17,0,6,0
147780.0,0,18,0,6,0
150692.0,0,19,0,6,0
180933.0,0,20,0,6,0
182305.0,0,20,0,7,0
207542.0,0,21,0,7,0
207553.0,0,22,0,7,0
207681.0,0,23,0,7,0
207915.0,0,24,0,7,0
207917.0,0,25,0,7,0
219878.0,0,26,0,7,0
232188.0,0,26,0,8,0
237901.0,0,26,0,9,0
271012.0,0,27,0,9,0
284256.0,0,28,0,9,0
288062.0,0,29,0,9,0
307212.0,0,29,0,10,0
324374.0,0,29,0,11,0
327807.0,0,30,0,11,0
328188.0,0,31,0,11,0
328193.0,0,32,0,11,0
328205.0,0,33,0,11,0
328234.0,0,34,0,11,0
328239.0,0,35,0,11,0
328273.0,0,36,0,11,0
328289.0,0,37,0,11,0
328683.0,0,38,0,11,0
