time,simpleEfficiency,complexEfficiency
0.002,,0.107715962592712
0.003,,0.10924473427926475
0.01,0.07707361458287695,0.11295255981941309
0.012,0.07826041402329728,0.11382394453402128
0.015,0.07855684696031619,0.11556539825862626
0.018,0.08181227933923102,
0.019,0.08181227933923102,
0.02,,0.11904396388261852
0.021,,0.12078081264108352
0.023,0.08652825300693424,0.12598188584327638
0.024,,0.12660007444603125
0.025,,0.12684734988713317
0.026,0.08799731448271046,0.12857709384069654
0.028,0.09414359419311348,
0.034,0.09472693301745008,
0.035,0.09472693301745008,0.1380624637213802
0.041,0.09763838286004685,0.1432161715575621
0.042,0.09821962544011953,
0.075,0.1008308621742035,0.14807047103085028
0.101,0.10343514488653144,
0.103,0.10487851955128609,0.15177410770719127
0.113,0.10660852667467377,0.15603827410512744
0.114,0.10804757749694384,0.1577411776846179
0.126,0.1091972304742028,0.16029257271847797
0.127,0.11091912528910429,0.16199152918413418
0.13,0.11206533447570036,0.16368890680425674
0.131,0.11206533447570036,0.16368890680425674
0.138,0.11492484705876448,0.16792544340535315
0.139,0.1177757939590279,
0.14,0.1177757939590279,0.17440225690637434
0.144,0.1194822612485949,
0.145,0.1194822612485949,
0.146,0.1194822612485949,0.17468337697516934
0.157,0.12345209326845782,
0.158,0.12345209326845782,0.18057584650112876
0.182,0.12627749676435632,0.1847729119638827
0.186,0.12909443675137797,0.188960109642051
0.193,0.1319029385820019,
0.194,0.13246346043847618,0.19480560851338286
0.199,0.13470302753276328,0.19730490164463085
0.2,0.13749472880448177,
0.201,,0.2014624959690423
0.204,0.14055590074392943,0.20643858368268309
0.205,,0.20726655014511455
0.207,0.143053068736848,
0.208,0.143053068736848,0.20974808126410846
0.226,0.07707361458287695,
0.227,0.07707361458287695,0.1120807803934215
0.23,0.08299339579241807,0.12078081264108352
0.231,0.08299339579241807,0.12078081264108352
0.233,0.08299339579241807,
0.234,0.08299339579241807,0.12078081264108352
0.235,0.08299339579241807,
0.236,,0.12078081264108352
0.239,0.08740993667567931,0.12713570633129098
0.242,0.09763838286004685,0.14235820702999033
0.243,0.09763838286004685,
0.244,0.09763838286004685,0.14235820702999033
0.245,0.09763838286004685,
0.246,0.09763838286004685,0.14235820702999033
0.248,0.09763838286004685,0.14235820702999033
0.249,0.1028570325571079,0.1482101100720198
0.251,0.11244694599587125,0.16397160571858546
0.252,0.11521028396501187,0.16834850499838766
0.254,0.11834461638888356,0.17215211222186397
