creatureKey,action_time,action_type,selection_type,target_key
350,1782771844194,WANDER,RANDOM,350
350,1782771844305,WANDER,RANDOM,350
350,1782771844383,SLEEP,RANDOM,350
350,1782771844386,SLEEP,RANDOM,350
350,1782771844560,SLEEP,RANDOM,350
350,1782771846219,SLEEP,RANDOM,252
350,1782771846224,SLEEP,AFFORDANCE,72
350,1782771846226,SLEEP,RANDOM,350
350,1782771846228,SLEEP,RANDOM,350
350,1782771846238,SLEEP,RANDOM,350
350,1782771846240,SLEEP,RANDOM,96
350,1782771846253,SLEEP,RANDOM,165
350,1782771846292,SLEEP,RANDOM,350
350,1782771846293,SLEEP,RANDOM,350
350,1782771846310,SLEEP,RANDOM,350
350,1782771846324,APPROACH,RANDOM,249
350,1782771846353,SLEEP,RANDOM,252
350,1782771846356,SLEEP,RANDOM,350
350,1782771846363,SLEEP,RANDOM,21
350,1782771846365,SLEEP,RANDOM,350
350,1782771847226,SLEEP,RANDOM,70
350,1782771847227,SLEEP,RANDOM,350
350,1782771847229,SLEEP,RANDOM,350
350,1782771847232,SLEEP,RANDOM,350
350,1782771847234,SLEEP,RANDOM,350
350,1782771847268,SLEEP,AFFORDANCE,165
350,1782771847269,SLEEP,RANDOM,350
350,1782771847271,SLEEP,RANDOM,350
350,1782771847276,AVOID,RANDOM,128
350,1782771847291,WANDER,RANDOM,350
350,1782771847293,APPROACH,RANDOM,249
350,1782771847294,SLEEP,AFFORDANCE,88
350,1782771847299,SLEEP,RANDOM,350
350,1782771847321,SLEEP,RANDOM,350
350,1782771847322,SLEEP,RANDOM,350
350,1782771847335,SLEEP,RANDOM,249
350,1782771847336,SLEEP,RANDOM,15
350,1782771847337,SLEEP,RANDOM,350
350,1782771847346,SLEEP,AFFORDANCE,201
350,1782771847347,SLEEP,AFFORDANCE,96
350,1782771849095,SLEEP,RANDOM,70
350,1782771849098,SLEEP,RANDOM,125
350,1782771849099,APPROACH,AFFORDANCE,88
350,1782771849106,SLEEP,RANDOM,350
350,1782771849107,SLEEP,RANDOM,45
350,1782771850950,SLEEP,RANDOM,165
350,1782771850954,SLEEP,RANDOM,350
350,1782771850963,SLEEP,RANDOM,350
350,1782771850972,SLEEP,RANDOM,350
350,1782771850973,SLEEP,RANDOM,350
350,1782771850974,SLEEP,RANDOM,350
350,1782771850986,SLEEP,RANDOM,350
350,1782771850987,SLEEP,RANDOM,350
350,1782771850990,SLEEP,RANDOM,350
350,1782771850996,WANDER,RANDOM,350
350,1782771851005,AVOID,RANDOM,201
350,1782771851006,SLEEP,AFFORDANCE,249
350,1782771851010,SLEEP,RANDOM,350
350,1782771851026,SLEEP,AFFORDANCE,15
350,1782771851028,SLEEP,RANDOM,350
350,1782771851029,SLEEP,RANDOM,108
350,1782771851031,SLEEP,AFFORDANCE,72
350,1782771851032,SLEEP,RANDOM,350
350,1782771851034,SLEEP,RANDOM,350
350,1782771851039,SLEEP,RANDOM,70
350,1782771851041,SLEEP,RANDOM,249
350,1782771851042,SLEEP,AFFORDANCE,252
350,1782771851046,AVOID,RANDOM,108
350,1782771851048,SLEEP,RANDOM,350
350,1782771851051,SLEEP,RANDOM,350
350,1782771851091,SLEEP,RANDOM,249
350,1782771851095,SLEEP,RANDOM,249
350,1782771851096,SLEEP,AFFORDANCE,201
350,1782771851097,SLEEP,RANDOM,70
350,1782771851098,SLEEP,RANDOM,350
350,1782771851099,SLEEP,RANDOM,85
350,1782771851113,SLEEP,RANDOM,350
350,1782771851115,SLEEP,RANDOM,128
350,1782771851122,SLEEP,AFFORDANCE,249
350,1782771851135,APPROACH,RANDOM,21
350,1782771851837,AVOID,RANDOM,249
350,1782771851842,AVOID,RANDOM,249
350,1782771851843,AVOID,AFFORDANCE,15
350,1782771851857,APPROACH,AFFORDANCE,108
350,1782771851859,WANDER,RANDOM,350
350,1782771852196,AVOID,RANDOM,165
350,1782771852197,APPROACH,RANDOM,249
350,1782771852219,SLEEP,RANDOM,350
350,1782771852220,SLEEP,AFFORDANCE,108
350,1782771852226,SLEEP,RANDOM,350
350,1782771852603,SLEEP,RANDOM,201
350,1782771852606,SLEEP,AFFORDANCE,165
350,1782771852607,SLEEP,RANDOM,252
350,1782771852608,SLEEP,RANDOM,350
350,1782771852609,SLEEP,RANDOM,350
350,1782771852612,SLEEP,RANDOM,15
350,1782771852613,SLEEP,AFFORDANCE,108
350,1782771852620,SLEEP,RANDOM,201
350,1782771852621,APPROACH,AFFORDANCE,128
350,1782771852622,SLEEP,RANDOM,350
350,1782771854038,SLEEP,RANDOM,249
350,1782771854044,SLEEP,AFFORDANCE,201
350,1782771854045,SLEEP,RANDOM,350
350,1782771854047,SLEEP,RANDOM,350
350,1782771854058,SLEEP,AFFORDANCE,165
350,1782771854064,SLEEP,RANDOM,15
350,1782771854066,SLEEP,RANDOM,350
350,1782771854068,SLEEP,AFFORDANCE,128
350,1782771854071,SLEEP,AFFORDANCE,249
350,1782771854072,SLEEP,RANDOM,15
350,1782771854073,SLEEP,AFFORDANCE,88
350,1782771854076,SLEEP,RANDOM,350
350,1782771854087,SLEEP,AFFORDANCE,201
350,1782771854089,SLEEP,RANDOM,350
350,1782771854092,SLEEP,RANDOM,350
350,1782771854103,SLEEP,RANDOM,70
350,1782771854106,WANDER,RANDOM,350
350,1782771854110,WANDER,RANDOM,350
350,1782771854111,SLEEP,RANDOM,350
350,1782771854115,SLEEP,RANDOM,350
350,1782771854117,SLEEP,RANDOM,165
350,1782771854118,SLEEP,RANDOM,350
350,1782771854120,SLEEP,RANDOM,128
350,1782771854122,SLEEP,RANDOM,350
350,1782771854123,SLEEP,RANDOM,350
350,1782771854650,SLEEP,RANDOM,70
350,1782771854685,SLEEP,RANDOM,201
350,1782771854701,SLEEP,AFFORDANCE,88
350,1782771854702,SLEEP,AFFORDANCE,165
350,1782771854719,WANDER,RANDOM,350
350,1782771855979,AVOID,RANDOM,165
350,1782771855988,AVOID,RANDOM,108
350,1782771855992,SLEEP,RANDOM,350
350,1782771855994,SLEEP,RANDOM,350
350,1782771855995,SLEEP,RANDOM,350
350,1782771856254,SLEEP,RANDOM,201
350,1782771856256,SLEEP,RANDOM,201
350,1782771856270,SLEEP,AFFORDANCE,45
350,1782771856272,SLEEP,AFFORDANCE,249
350,1782771856273,SLEEP,RANDOM,350
350,1782771856928,SLEEP,RANDOM,165
350,1782771856930,SLEEP,RANDOM,350
350,1782771856945,SLEEP,AFFORDANCE,249
350,1782771856953,AVOID,RANDOM,339
350,1782771856966,SLEEP,RANDOM,249
350,1782771856970,SLEEP,RANDOM,201
350,1782771856975,SLEEP,RANDOM,96
350,1782771856980,SLEEP,AFFORDANCE,143
350,1782771856982,SLEEP,RANDOM,165
350,1782771856983,SLEEP,AFFORDANCE,128
350,1782771856984,SLEEP,RANDOM,249
350,1782771856989,SLEEP,AFFORDANCE,165
350,1782771856991,SLEEP,RANDOM,350
350,1782771856992,SLEEP,RANDOM,350
350,1782771856996,SLEEP,RANDOM,128
350,1782771858294,AVOID,RANDOM,249
350,1782771858298,APPROACH,RANDOM,85
350,1782771858304,SLEEP,AFFORDANCE,125
350,1782771858306,SLEEP,AFFORDANCE,252
350,1782771858307,SLEEP,RANDOM,350
350,1782771863069,SLEEP,RANDOM,339
350,1782771863077,SLEEP,RANDOM,201
350,1782771863082,SLEEP,RANDOM,350
350,1782771863083,SLEEP,RANDOM,350
350,1782771863097,SLEEP,RANDOM,350
350,1782771863102,SLEEP,RANDOM,201
350,1782771863103,SLEEP,RANDOM,165
350,1782771863105,SLEEP,RANDOM,350
350,1782771863106,SLEEP,AFFORDANCE,339
350,1782771863107,SLEEP,RANDOM,350
350,1782771863108,AVOID,RANDOM,201
350,1782771863109,SLEEP,AFFORDANCE,128
350,1782771863111,SLEEP,AFFORDANCE,165
350,1782771863113,SLEEP,AFFORDANCE,128
350,1782771863115,SLEEP,RANDOM,249
350,1782771863116,SLEEP,RANDOM,70
350,1782771863117,SLEEP,AFFORDANCE,143
350,1782771863125,SLEEP,RANDOM,350
350,1782771863131,SLEEP,RANDOM,350
350,1782771863133,SLEEP,RANDOM,350
350,1782771863134,SLEEP,RANDOM,339
350,1782771863135,SLEEP,AFFORDANCE,72
350,1782771863139,APPROACH,RANDOM,70
350,1782771863163,SLEEP,AFFORDANCE,108
350,1782771863164,SLEEP,RANDOM,350
350,1782771863166,SLEEP,RANDOM,339
350,1782771863173,SLEEP,RANDOM,128
350,1782771863176,SLEEP,RANDOM,350
350,1782771863177,SLEEP,RANDOM,350
350,1782771863184,SLEEP,AFFORDANCE,249
350,1782771863188,SLEEP,RANDOM,201
350,1782771863189,SLEEP,RANDOM,249
350,1782771863191,SLEEP,AFFORDANCE,143
350,1782771863192,SLEEP,RANDOM,350
350,1782771863198,APPROACH,RANDOM,96
350,1782771863200,APPROACH,RANDOM,128
350,1782771863204,WANDER,RANDOM,350
350,1782771863205,WANDER,RANDOM,350
350,1782771863207,SLEEP,RANDOM,108
350,1782771863208,SLEEP,AFFORDANCE,201
350,1782771867160,SLEEP,RANDOM,249
350,1782771867162,SLEEP,RANDOM,72
350,1782771867171,SLEEP,RANDOM,350
350,1782771867172,SLEEP,AFFORDANCE,249
350,1782771867173,SLEEP,AFFORDANCE,249
350,1782771867181,SLEEP,AFFORDANCE,249
350,1782771867183,SLEEP,AFFORDANCE,249
350,1782771867184,SLEEP,AFFORDANCE,249
350,1782771867185,SLEEP,AFFORDANCE,249
350,1782771867186,SLEEP,AFFORDANCE,249
350,1782771869813,AVOID,RANDOM,72
350,1782771869814,SLEEP,RANDOM,128
350,1782771869819,SLEEP,AFFORDANCE,249
350,1782771869820,SLEEP,AFFORDANCE,334
350,1782771869821,SLEEP,RANDOM,350
350,1782771871437,SLEEP,RANDOM,193
350,1782771871443,SLEEP,RANDOM,72
350,1782771871444,SLEEP,RANDOM,334
350,1782771871448,SLEEP,RANDOM,350
350,1782771871454,SLEEP,RANDOM,350
350,1782771871457,SLEEP,RANDOM,252
350,1782771871458,SLEEP,AFFORDANCE,128
350,1782771871459,SLEEP,RANDOM,350
350,1782771871463,AVOID,RANDOM,334
350,1782771871465,APPROACH,RANDOM,45
350,1782771874808,SLEEP,RANDOM,249
350,1782771874813,SLEEP,RANDOM,356
350,1782771874817,SLEEP,RANDOM,350
350,1782771874819,SLEEP,AFFORDANCE,17
350,1782771874820,SLEEP,RANDOM,128
350,1782771875194,SLEEP,RANDOM,201
350,1782771875236,SLEEP,RANDOM,201
350,1782771875237,SLEEP,RANDOM,350
350,1782771875241,SLEEP,RANDOM,350
350,1782771875242,SLEEP,AFFORDANCE,165
350,1782771875511,SLEEP,RANDOM,72
350,1782771875519,APPROACH,AFFORDANCE,70
350,1782771875532,SLEEP,RANDOM,350
350,1782771875533,SLEEP,AFFORDANCE,201
350,1782771875547,SLEEP,RANDOM,350
350,1782771875728,SLEEP,RANDOM,249
350,1782771875730,SLEEP,AFFORDANCE,83
350,1782771875742,SLEEP,RANDOM,350
350,1782771875743,SLEEP,RANDOM,350
350,1782771875744,SLEEP,RANDOM,350
350,1782771875747,SLEEP,RANDOM,72
