creatureKey,regulatingCount,batches
351,0,1044
351,1,34
351,2,9
351,3,12
351,4,16
351,5,51
351,6,5
351,7,6
351,8,6
351,9,6
351,10,21
351,11,1
351,12,4
351,13,5
351,14,3
351,15,16
351,17,3
351,18,1
351,19,2
351,20,6
351,21,1
351,22,1
351,23,3
351,24,1
351,25,2
351,26,1
351,27,1
351,30,2
351,32,2
351,33,2
351,35,2
351,36,1
351,37,2
351,38,1
351,39,1
351,41,3
351,43,1
351,45,1
351,46,2
351,49,1
351,50,2
351,54,1
351,59,2
351,60,1
351,63,1
351,64,1
351,88,1
351,89,1
351,92,1
351,100,1
351,102,1
351,137,1
351,173,1
